"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-15 09:01:50,高雄市,三民區,Sophia,
No.2,2017-08-15 09:14:31,臺中市,西屯區,陳小如,
No.3,2017-08-15 10:13:15,臺北市,大安區,腹黑爸爸,也請支持 雙多胞胎政策聯署 https://goo.gl/j9s6WN
No.4,2017-08-15 10:29:47,新北市,五股區,Jessie T.,
No.5,2017-08-15 10:37:51,基隆市,信義區,chan,建請取消公務員休假應以半日計算之規定，放寬以小時請休。
No.6,2017-08-15 10:38:15,臺中市,南屯區,yun,
No.7,2017-08-15 10:43:25,基隆市,信義區,娟娟,建請取消公務員休假應以半日計算之規定，放寬以小時請休
No.8,2017-08-15 11:11:20,臺中市,太平區,kevin,
No.9,2017-08-15 11:33:57,新竹縣,橫山鄉,care,
No.10,2017-08-15 11:46:54,新北市,五股區,立立,
No.11,2017-08-15 11:48:18,臺中市,北區,u8911049,
No.12,2017-08-15 11:55:23,臺中市,大雅區,呂宏,
No.13,2017-08-15 11:58:32,屏東縣,恆春鎮,阿忠,"建議設立員工座談會,每年至少舉辦幾場,讓員工提出改善意見,再請中央擬定改善計畫或回應."
No.14,2017-08-15 12:17:46,臺中市,石岡區,vivid,
No.15,2017-08-15 12:38:57,新竹縣,尖石鄉,甜甜,認同應修正請假單位以小時計算。
No.16,2017-08-15 12:44:27,高雄市,楠梓區,gohui,
No.17,2017-08-15 13:06:35,新北市,中和區,張小花,
No.18,2017-08-15 13:08:33,臺中市,豐原區,維尼,
No.19,2017-08-15 13:11:55,臺中市,后里區,怡,
No.20,2017-08-15 13:21:51,臺中市,石岡區,eunice,
No.21,2017-08-15 13:25:30,臺中市,豐原區,fon,彈性
No.22,2017-08-15 13:29:20,臺中市,石岡區,雪兒,
No.23,2017-08-15 13:31:45,臺中市,清水區,113,
No.24,2017-08-15 13:33:23,臺中市,大甲區,小菜鳥公務員,"建請取消公務員休假應以半日計算之規定，放寬以小時請休!
讓休假時間更有彈性!"
No.25,2017-08-15 13:47:25,臺中市,清水區,W,
No.26,2017-08-15 13:51:27,新北市,中和區,柚子,
No.27,2017-08-15 14:04:16,高雄市,前鎮區,阿勝,
No.28,2017-08-15 14:13:04,新竹縣,竹東鎮,小玲,贊成休假應該改為小時請休較為彈性合理
No.29,2017-08-15 14:25:51,臺中市,大里區,喬治,
No.30,2017-08-15 14:54:35,彰化縣,彰化市,宥勝,
No.31,2017-08-15 16:03:26,桃園市,中壢區,琪琪媽咪,同意休假以小時請，方便接送小孩及打預防針......等。
No.32,2017-08-15 16:11:46,臺中市,北屯區,FIVE,請假應自由，不該有限制
No.33,2017-08-15 16:25:19,苗栗縣,通霄鎮,cefiro,
No.34,2017-08-15 16:34:08,臺中市,北區,rick,
No.35,2017-08-15 16:52:55,臺中市,北區,lihsun,
No.36,2017-08-15 17:15:57,彰化縣,溪州鄉,良心二,
No.37,2017-08-15 17:27:32,臺中市,西區,小張,
No.38,2017-08-15 20:06:53,臺中市,烏日區,姒,
No.39,2017-08-15 21:39:32,臺中市,南區,曾阿牛,
No.40,2017-08-15 21:54:15,臺中市,豐原區,生氣,支持休假最少單位:一小時;既然特休已有請休期限，為什麼還要限管他人休假時數以半日計算，總統不是說要聽聽人民的心聲嗎？
No.41,2017-08-15 23:17:28,彰化縣,二林鎮,Shen,
No.42,2017-08-16 08:20:29,臺北市,大安區,renn999,
No.43,2017-08-16 08:50:41,新北市,板橋區,Fang,
No.44,2017-08-16 09:00:36,臺中市,南屯區,Jovi,
No.45,2017-08-16 09:01:08,臺北市,大安區,ursula,
No.46,2017-08-16 09:10:30,嘉義縣,民雄鄉,xie,
No.47,2017-08-16 09:10:51,臺北市,文山區,盛,
No.48,2017-08-16 09:24:58,高雄市,三民區,Winner,
No.49,2017-08-16 09:38:19,臺中市,大雅區,Sharon,
No.50,2017-08-16 09:45:41,臺中市,東區,ANDYTSAY,
No.51,2017-08-16 09:47:36,南投縣,竹山鎮,PUFFS,
No.52,2017-08-16 09:47:38,臺中市,西屯區,Newtype,
No.53,2017-08-16 09:51:32,苗栗縣,苗栗市,meme,
No.54,2017-08-16 09:59:41,新北市,三重區,葉,
No.55,2017-08-16 10:04:44,桃園市,桃園區,小向,好  要改
No.56,2017-08-16 10:08:25,高雄市,左營區," 藍伯特",
No.57,2017-08-16 10:40:54,苗栗縣,苗栗市,Sam,過時的法令早該改掉！
No.58,2017-08-16 10:43:49,新北市,三重區,林小姐,彈性大一些
No.59,2017-08-16 10:49:29,桃園市,觀音區,John,
No.60,2017-08-16 10:56:06,桃園市,桃園區,Nicole,
No.61,2017-08-16 11:07:03,臺中市,南屯區,kiki,
No.62,2017-08-16 11:14:40,新北市,中和區,wenyu,
No.63,2017-08-16 11:34:19,新北市,新店區,朵朵,"經常因事故造成上班時間延誤，為了不影響考績(事病假5日內)，原本只要請1小時的假，卻只好請半天休假取代。尤其近年抗議事件增多，上班地點位於博愛特區，受制於拒馬，經常塞車或必須繞遠路。

休假若能改成以小時計，較符合人性化的設計，讓公務員更能妥善運用休假。謝謝!"
No.64,2017-08-16 11:36:30,臺北市,松山區,YST,
No.65,2017-08-16 11:43:29,宜蘭縣,羅東鎮,Wei,
