"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-16 00:30:21,臺北市,文山區,149,地球只有一個，若政府願意把金錢花在對的事物上，台灣的炎熱天氣太陽能板必定能發揮一定的作用，從公共建設開始做起，再利用政府的宣傳，台灣環保的意識必定有更顯著的進步。
No.2,2018-05-16 14:35:47,臺北市,信義區,Hero,本人願意出資興建休息站建物屋頂太陽能，以綠能憑證非躉購的自產自銷自用方式，營運真正的公民電廠，並支付休息站管理單位租金，只求政府相關單位願意出租使用權。詳情請看我們的公民電廠提案： 讓支持綠能憑證，願意出資架設太陽能電站的自然人、民間團體、微型新創也能跟能源公司一樣競標公家機關屋頂！！https://join.gov.tw/idea/detail/81bad6d9-2265-457b-ba75-f333f3681873
No.3,2018-05-16 23:09:15,臺南市,善化區,赤心,請下放公共設施屋頂開發權利於基層機關，增加地方機關收入，並加速綠能屋頂之建設
No.4,2018-05-17 10:56:46,臺北市,大安區,封狼,
No.5,2018-05-17 20:34:15,苗栗縣,竹南鎮,Tacg_Chen,綠電的場地一直是一個問題.這個想法真的很OK
No.6,2018-05-17 20:43:13,高雄市,大寮區,高雄阿惟,
No.7,2018-05-17 23:51:27,新竹市,東區,JI Huang,
No.8,2018-05-18 04:29:01,嘉義縣,民雄鄉,c61554,
No.9,2018-05-18 16:37:12,臺南市,北區,MT,"休息站本身除了觀光客跟連假時間會有較大批的流量，其餘時間都較閒置。
一個場所可以具備多種功能很棒!
台灣已經地狹人稠，政府也不要再花多餘的錢去建設場地，如何將一個地點發揮其最大功效才是最重要的!"
No.10,2018-05-18 20:01:56,新北市,三重區,ul45p4,
No.11,2018-05-19 05:04:25,臺南市,歸仁區,陳浩南,同意
No.12,2018-05-19 07:54:58,桃園市,中壢區,Daisy Chang,
No.13,2018-05-19 20:46:15,高雄市,三民區,洪,
No.14,2018-05-19 20:59:28,高雄市,前鎮區,J,"希望台灣人民與政府
不要僅看短期效益而捨棄長遠未來與發展。"
No.15,2018-05-20 11:46:27,高雄市,三民區,昊,
No.16,2018-05-21 00:44:28,臺中市,新社區,"Gods ",
No.17,2018-05-21 08:09:44,臺北市,士林區,"MH ",
No.18,2018-05-21 15:34:41,屏東縣,潮州鎮,jean,
No.19,2018-05-21 18:44:25,臺北市,松山區,Tino,
No.20,2018-05-21 21:11:23,高雄市,楠梓區,zephoenixro,
No.21,2018-05-22 01:34:44,新北市,三重區,playgamenow,
No.22,2018-05-22 02:04:53,臺南市,永康區,Jake,
No.23,2018-05-29 08:16:27,臺北市,文山區,Brian,

