"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-16 18:58:14,花蓮縣,花蓮市,小盧,
No.2,2017-10-17 20:28:44,新北市,新店區,Tin,強制人民定時定點倒垃圾，真的比共產國家還共產，若是為了環境衛生，有很多種方法可以避免!而且垃圾分類人民一點好處也沒拿到，應推動公立回收站，依牌價給予回收金，及垃圾收集點!
No.3,2017-10-18 00:13:39,新北市,淡水區,mazda,
No.4,2017-10-18 13:55:39,新北市,淡水區,凝,
No.5,2017-10-18 22:46:30,高雄市,楠梓區,綾,
No.6,2017-10-19 13:41:53,臺中市,南屯區,Nedenka,
No.7,2017-10-19 22:28:09,臺北市,士林區,奈,比起嘴上掛著的政策，有效利用科技反而效率更高
No.8,2017-10-20 10:10:54,新北市,三重區,小明,
No.9,2017-10-22 17:48:04,臺北市,萬華區,Leon,
No.10,2017-10-22 17:52:10,臺北市,大安區,ochukimo,
No.11,2017-10-22 19:23:28,臺北市,北投區,Leo,
No.12,2017-10-22 23:01:10,高雄市,大寮區,戰讚顫,垃圾不落地有點擾民，現在我都要把垃圾拿到外婆家委託家人幫忙倒垃圾，收垃圾時間很不人性
No.13,2017-10-22 23:26:31,新北市,板橋區,丫玉,
No.14,2017-10-22 23:34:20,新北市,鶯歌區,muller,
No.15,2017-10-25 13:14:35,桃園市,桃園區,JERRY,
No.16,2017-10-25 18:57:34,新竹市,東區,alan,
No.17,2017-10-25 22:05:37,嘉義縣,民雄鄉,熊,
No.18,2017-10-28 14:25:39,新北市,三重區,Vagabond,
