"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-20 07:41:19,新竹縣,新豐鄉,Mr.S,"也請支持 (亞泥礦區改水庫),(鬧區馬路興建行人&機車鋼構高架道路),(公共政策網路參與平台應該扮演匯集全國民眾意見的橋樑不限行政院事務),(教育改革應從建立大數據庫&學分制度著手),(頭城交流道配合礁溪街道改善圖),(建立公共工程品質&廠商信用追蹤系統),(調整行政區有效整合區域資源),(建議政府發行特別股與民眾交換公共設施保留地),(四或五線道窄安全島的不良的汽車待轉車道修改為左右彎汽車都須待轉),(蘇花改接國道5),(各級學校,各類補習班教室都須設置防止性侵害標語),(增加政府組織內人員的流動性),(課徵所得稅時的小額退補稅差應列下一期一起併算),(興建家戶地下水庫),(夏季用電漲價價差應專款專用補貼太陽能或風力發電),(讓消費者獲得""消費&不浪費權"",防止浪費與改標)"
No.2,2017-06-20 12:28:22,桃園市,龜山區,章魚,
No.3,2017-06-20 13:26:20,彰化縣,永靖鄉,曉鑫,
No.4,2017-06-20 15:17:56,臺中市,沙鹿區,Wang,
No.5,2017-06-20 18:48:25,臺北市,文山區,小呆腦,
No.6,2017-06-21 13:14:07,臺南市,北區,yuan,
No.7,2017-06-21 23:21:37,新竹市,北區,adam,
No.8,2017-06-22 00:09:31,彰化縣,二林鎮,CYL,
No.9,2017-06-22 01:21:58,高雄市,湖內區,st986203,
No.10,2017-06-22 07:46:21,高雄市,湖內區,re998556,
No.11,2017-06-22 15:21:11,新北市,土城區,Vivian Lee,"或許可以提出方案,讓民眾在沒有攜帶環保購物袋的情況下可以有所選擇,如果今天賣場櫃台多提供販售一種""方便攜帶的環保購物袋"" 及 售價提高的一次性塑膠袋供選擇 (中間提高的價格,因撥去處理相關環保問題的費用上)。當然我不懂環保購物袋的材質等製作,但如果政府主動設立製作(採用弱勢族群或學生等人員問題),或許對很多問題都會有大大的改善."
No.12,2017-06-22 21:17:53,彰化縣,社頭鄉,koto,
No.13,2017-06-22 23:38:12,高雄市,前鎮區,Leona,
No.14,2017-06-23 15:25:22,臺南市,玉井區,建銘,
No.15,2017-06-23 15:43:24,臺南市,北區,Kim,少一袋救下一代
