"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-04 22:10:06,南投縣,埔里鎮,wei hong hong,
No.2,2017-07-05 04:38:26,宜蘭縣,壯圍鄉,Marx,
No.3,2017-07-05 10:54:12,新竹市,東區,Jesse,
No.4,2017-07-05 12:51:34,高雄市,左營區,世新,
No.5,2017-07-06 00:43:45,桃園市,龜山區,Va,
No.6,2017-07-06 00:49:35,臺北市,南港區,jiunye,
No.7,2017-07-06 00:53:26,桃園市,龍潭區,天族,支持
No.8,2017-07-06 01:12:42,臺北市,信義區,BECOZY,"贊成! 虛坪乃附加物不應與實坪同價 過往虛坪不僅占比低且戶戶相似 
但今日虛坪因各種疊床架屋制度已呈亂象 難以反映房屋真實狀況
各種統計數據用虛坪下去統計更是GIGO"
No.9,2017-07-06 01:23:12,臺北市,內湖區,伊芙,
No.10,2017-07-06 01:26:40,新北市,石門區,政府心虛,
No.11,2017-07-06 01:56:31,新北市,淡水區,小小市民,
No.12,2017-07-06 02:09:17,臺北市,中山區,enli,
No.13,2017-07-06 04:03:43,桃園市,桃園區,草民,
No.14,2017-07-06 07:09:50,新北市,新莊區,zusuki,台灣人的消費全丟入不動產了，導致現在的悶經濟，虛坪計價是幫兇其一，且該制度明顯和國際脫軌，應予導正。
No.15,2017-07-06 07:54:37,臺北市,北投區,lin,"支持
台灣=政府官商勾結
讓人民難以生活
少子化
支持此提案
讓人民有住的基本權利"
