"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-02 04:32:21,臺南市,後壁區,緯緯,
No.2,2017-11-02 09:03:55,雲林縣,莿桐鄉,對,
No.3,2017-11-02 10:31:23,臺北市,大同區,先,
No.4,2017-11-02 10:50:31,新北市,汐止區,CHOU,
No.5,2017-11-02 11:22:49,新北市,三重區,SIdney,
No.6,2017-11-02 13:57:54,臺中市,南屯區,aa,
No.7,2017-11-02 14:01:46,臺北市,內湖區,TOM,
No.8,2017-11-02 15:11:38,新竹市,香山區,兒兒兒,
No.9,2017-11-02 16:52:00,新北市,板橋區,金碧輝煌,北部都市房價是十大痛苦之一，必須盡快通過公民住宅法案，不要把之前的合宜宅牽扯進來，那種規劃根本違反公益精神，還限制不便族群的申購比例，根本炒房炒地皮
No.10,2017-11-02 18:19:36,高雄市,岡山區,阿賢,贊成
No.11,2017-11-02 18:22:13,新北市,板橋區,mygame,請停止炒房實現民生基本需求
No.12,2017-11-02 21:59:53,花蓮縣,新城鄉,阿典,
No.13,2017-11-02 22:39:41,新北市,新店區,鼶鼰,
No.14,2017-11-02 22:44:22,臺中市,東區,阿華,我支持這個提議的想法也建議政府能調查全國的空屋使屋主能加入公益房東的行列，能讓政府在建公民住宅期間中低收入民眾有房屋居住也減輕政府及民眾的負擔。
No.15,2017-11-02 23:49:41,新北市,三重區,阿輝,
No.16,2017-11-03 00:22:59,臺中市,北屯區,X-550,有無人沒房子住，有房子沒人住，這是不對的，推動居者有其屋，人人有個屋簷擋風擋雨才是正道
No.17,2017-11-03 02:04:43,臺中市,西區,ju,
No.18,2017-11-03 06:56:40,臺北市,信義區,Hank,
No.19,2017-11-03 07:33:37,新北市,樹林區,伶伶,
No.20,2017-11-03 07:44:25,新北市,新莊區,嗯哼,
No.21,2017-11-03 08:06:36,嘉義市,東區,阿愷,
No.22,2017-11-03 08:48:00,臺中市,太平區,小茜,薪資不漲，大家連家都沒有，談何容易養小孩呢？
No.23,2017-11-03 08:51:02,臺北市,文山區,光光,太棒了
No.24,2017-11-03 10:19:07,新北市,板橋區,小白,
No.25,2017-11-03 12:38:12,新竹市,北區,"Fanny ",
No.26,2017-11-03 12:53:11,臺中市,北區,Tai,
No.27,2017-11-03 12:55:53,高雄市,鳳山區,yijen,
No.28,2017-11-03 13:12:31,高雄市,左營區,瑋瑋,
No.29,2017-11-03 14:40:49,苗栗縣,竹南鎮,ch,
No.30,2017-11-03 15:09:35,新竹縣,芎林鄉,chucky,
No.31,2017-11-03 15:21:36,新竹市,香山區,宏圖大志,
No.32,2017-11-03 15:40:30,新北市,中和區,肉羹,
No.33,2017-11-03 15:50:00,高雄市,楠梓區,日光花園飯店,
No.34,2017-11-03 16:00:09,臺北市,北投區,Johnnie,
No.35,2017-11-03 16:06:53,新北市,新莊區,NicoleZeng,"買不起房子,只能寄望在政府的補助了~~"
No.36,2017-11-03 16:18:41,高雄市,楠梓區,小儀,
No.37,2017-11-03 16:33:52,彰化縣,二水鄉,夜語花兒,年輕人沒錢買房，基本上要買房子什麼錢都不用花了，造成金錢不流動，市場會衰退，大家都賺不到錢。
No.38,2017-11-03 16:37:28,桃園市,中壢區,BOW,
No.39,2017-11-03 17:15:41,新北市,板橋區,ste0723,
No.40,2017-11-03 18:07:03,新北市,新莊區,阿凱,
