"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-24 14:07:48,嘉義縣,大林鎮,睿恩,
No.2,2017-10-24 18:25:08,金門縣,金寧鄉,虞璿,
No.3,2017-10-24 21:41:59,臺北市,內湖區,開心,高中生也要有選擇未來的權力
No.4,2017-10-24 21:45:27,屏東縣,萬巒鄉,魯國國相,
No.5,2017-10-24 22:04:04,臺南市,永康區,蟹老闆,
No.6,2017-10-25 20:56:37,臺中市,北屯區,宇宙人,
No.7,2017-10-25 21:27:27,新北市,新莊區,yayaya,
No.8,2017-10-26 14:10:49,臺中市,北屯區,吧,
No.9,2017-10-26 18:33:22,新北市,三重區,luna,
No.10,2017-10-26 18:34:33,基隆市,七堵區,開心就拍手,
No.11,2017-10-26 18:36:57,臺北市,萬華區,SM,
No.12,2017-10-26 18:38:59,新北市,永和區,"Charles ",
No.13,2017-10-26 19:16:27,新北市,三峽區,一葉之秋,
No.14,2017-10-26 20:04:57,臺北市,松山區,痘痘,
No.15,2017-10-26 20:04:58,臺北市,士林區,Aaa,
No.16,2017-10-26 20:18:55,基隆市,仁愛區,鮪魚,國民的文化水平也不會下降，也可以幫助不喜歡國文科的人減少學習國文的時間，增進自己比較擅長、喜歡的科目。
No.17,2017-10-26 21:43:40,臺北市,文山區,霖,
No.18,2017-10-26 22:08:08,金門縣,金城鎮,豢笋,各項科目適才教育有助於學生在各個科目都分別專長之部分有
No.19,2017-10-26 23:41:28,新北市,新莊區,快樂的錢,分了組，學習的重點科目當然也該做出區別
No.20,2017-10-27 22:47:14,桃園市,桃園區,LYH,
No.21,2017-10-28 00:27:18,新北市,中和區,Lily,
No.22,2017-10-28 18:50:52,臺北市,中正區,維維,適性揚才才是百年教育大計，而把國文分成AB版正是此類的展現，敬表支持！
No.23,2017-10-28 19:06:43,新北市,新店區,Chanty,
No.24,2017-10-28 21:15:16,臺北市,松山區,AnnieLee,
No.25,2017-10-29 00:24:34,新北市,板橋區,象棋,
No.26,2017-10-29 20:37:36,臺北市,大安區,自來水,
No.27,2017-10-31 18:44:31,臺北市,大安區,Kinoko,我認為理組的國文沒有必要過度注重文言文，畢竟他們出了社會也不會用到。
No.28,2017-10-31 18:44:57,新北市,永和區,顏兌霖,文言文沒有必要性，應參考個人意願
No.29,2017-11-01 11:04:42,新竹縣,竹北市,天堂鳥,
No.30,2017-11-08 23:16:20,新北市,泰山區,Leyla*,
No.31,2017-12-05 20:23:48,桃園市,中壢區,William Lee,因材施教，適性揚才，理組真的不太需要精通文言文，畢竟大家現在只用白話文。

