"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-03 02:30:22,臺南市,將軍區,愛與希望,
No.2,2017-08-03 09:40:56,新北市,汐止區,Swan,
No.3,2017-08-03 10:27:00,臺南市,下營區,海上尖兵,
No.4,2017-08-03 10:53:53,南投縣,鹿谷鄉,yao,為了國家安全!少子化的社會應恢復徵兵.
No.5,2017-08-03 11:54:48,新北市,三重區,LEO,
No.6,2017-08-03 12:29:06,高雄市,三民區,Geoff,兵力越強，他國越不敢任意侵犯
No.7,2017-08-03 12:51:04,臺中市,北屯區,eric wang,
No.8,2017-08-03 13:51:33,臺北市,中山區,林,"支持兵役役期延長至十年以上，如北朝鮮那樣，並廢除替代役制度、取消任何義務役薪水及退伍金，以減少國家支出。
另外，國家不應干涉軍中事務，即使軍中傳虐死案或士兵死亡，也不應干涉，因為有句成語說「殺一儆百」，就是現在年輕人太軟弱、欠操，所以軍隊應該再多殺幾個士兵，好讓年輕人知道，軍中是黑暗且痛苦的。"
No.9,2017-08-03 15:03:25,雲林縣,虎尾鎮,Macon,
No.10,2017-08-03 15:29:00,臺北市,大同區,蔡蔡,
No.11,2017-08-03 17:16:29,高雄市,小港區,洪澤恩,
No.12,2017-08-03 17:21:12,高雄市,鼓山區,清道夫,
No.13,2017-08-03 17:29:39,臺中市,大里區,喬治,
No.14,2017-08-03 20:29:48,彰化縣,彰化市,天空,
No.15,2017-08-03 21:31:26,彰化縣,田中鎮,飛利,很好的想法，並且，男女皆要服義務役，落實性別平等，美國女兵都志願從軍了，台灣的女人，太糟糕都不願意從軍，難怪外國人瞧不起台灣女性。
No.16,2017-08-03 22:10:19,新北市,蘆洲區,茶茶,
No.17,2017-08-03 22:44:31,宜蘭縣,宜蘭市,元哥,
No.18,2017-08-04 09:43:05,南投縣,鹿谷鄉,mei,
No.19,2017-08-04 15:13:57,新北市,五股區,大志,全民皆兵有助於維護國家安全
No.20,2017-08-04 16:05:18,宜蘭縣,頭城鎮,JH,
No.21,2017-08-05 05:43:39,臺南市,永康區,景椿,
No.22,2017-08-05 09:45:52,新竹市,東區,月荷,
No.23,2017-08-05 18:18:53,臺北市,大安區,康至青,
No.24,2017-08-05 19:27:04,新北市,永和區,強國人,
