"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-02 17:49:14,臺北市,中正區,angelsky_777,
No.2,2017-12-03 22:01:16,高雄市,三民區,sunshine0962,
No.3,2017-12-04 01:16:04,臺南市,永康區,25891,
No.4,2017-12-04 08:26:19,新竹市,北區,暗,
No.5,2017-12-05 13:27:43,臺中市,北屯區,aaron99035,
No.6,2017-12-24 23:48:36,高雄市,岡山區,阿賢,贊成
No.7,2018-01-07 19:31:48,新北市,三重區,Vagabond,
No.8,2018-01-10 00:26:57,新北市,樹林區,sj,
No.9,2018-01-13 13:04:48,新北市,板橋區,jc,"毒品問題氾濫,希望問題能被重視"
No.10,2018-01-20 11:27:52,臺北市,北投區,"Geh,Diong-Sin",非常棒的提議，讓不法份子嚇到尿褲子。

