"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-06 12:39:20,新北市,中和區,Pluto,
No.2,2017-06-06 16:19:45,臺北市,中山區,Isaac Chang,用空拍方式認定災害狀況確實可節省許多人力時間。
No.3,2017-06-06 16:22:27,新北市,板橋區,Jam,
No.4,2017-06-06 16:32:26,臺南市,安平區,帕帕,"多列一種認定方式，並不是完全取代現行措施，應該可行。
空拍作業可於每年初招標簽定開口合約，依實際拍攝次數或面積計價，在採購實務上也可行。"
No.5,2017-06-06 16:44:32,雲林縣,古坑鄉,咖啡,
No.6,2017-06-06 17:49:09,新竹縣,湖口鄉,Brian,
No.7,2017-06-06 18:19:52,新北市,板橋區,Allen,
No.8,2017-06-06 18:30:12,新北市,中和區,Aaron,
No.9,2017-06-06 20:03:15,臺北市,內湖區,Erin,
No.10,2017-06-06 20:06:38,高雄市,前金區,"Aidan ",
No.11,2017-06-06 20:09:16,臺中市,北屯區,小如,加油，支持你
