"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-25 15:28:09,臺北市,內湖區,bb,
No.2,2017-11-26 09:36:47,臺北市,文山區,青嵐,
No.3,2017-11-26 18:05:59,新北市,三重區,Vagabond,
No.4,2017-11-27 14:15:46,臺南市,永康區,r774390,
No.5,2017-11-27 15:43:59,臺南市,善化區,一道彩虹,贊成保護機車族的人身安全
No.6,2017-11-27 23:27:46,苗栗縣,苗栗市,Yan,
No.7,2017-11-28 09:53:23,臺南市,西港區,小妤,
No.8,2017-11-28 21:29:45,基隆市,七堵區,LW,我曾經是大貨車肇事的受害者。因此對於大貨車在一般公路或快速道路或高速公路隨意變換車道，因而肇事深感痛絕。所以非常支持此提案。
No.9,2017-11-28 21:30:22,臺中市,豐原區,謝拉,大貨車以上任意行駛外線道要處罰!
No.10,2017-12-08 22:27:03,桃園市,中壢區,"阿信Kenji ",
No.11,2017-12-11 17:31:51,新北市,新店區,may ray,
No.12,2017-12-12 10:19:41,臺中市,西屯區,張棠棠,

