"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-17 01:42:25,新北市,板橋區,seir1903,
No.2,2017-09-18 07:44:14,臺北市,士林區,"huangshihhan ",
No.3,2017-09-18 09:16:14,高雄市,楠梓區,GB,
No.4,2017-09-18 14:23:34,苗栗縣,竹南鎮,AndroidForever,支持！讓善念傳遞下去！
No.5,2017-09-18 14:59:59,臺北市,南港區,K,
No.6,2017-09-18 19:23:49,屏東縣,潮州鎮,神奇紫陽,真的該把殺人魔蔣中正換掉了
No.7,2017-09-20 15:17:31,新北市,汐止區,John,
No.8,2017-09-20 18:55:29,新竹市,北區,新竹人,
No.9,2017-09-20 20:41:02,臺北市,信義區,巧古力,"希望可以由一個月延長成兩三個月,一個月的繪圖時間有點短"
No.10,2017-09-25 09:52:36,苗栗縣,竹南鎮,LADAKHSTONE,
No.11,2017-09-27 16:52:56,宜蘭縣,五結鄉,Mika Dad,
