"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-01 03:53:57,彰化縣,埔鹽鄉,支持你,提得很好..不過影響許多官員生計，肯定不會做
No.2,2017-11-01 09:00:40,嘉義市,東區,j60441783,保障居住正義，消除少子化！
No.3,2017-11-01 09:40:22,新竹市,香山區,兒兒兒,
No.4,2017-11-01 21:39:17,嘉義縣,中埔鄉,熊妹,
No.5,2017-11-01 23:48:15,新北市,永和區,Mi,
No.6,2017-11-02 10:42:56,臺北市,大同區,先,
No.7,2017-11-02 17:23:21,臺南市,仁德區,Rockey,
No.8,2017-11-03 14:38:55,臺北市,萬華區,alex tsai,
No.9,2017-11-03 15:05:45,臺中市,西屯區,家飛,
No.10,2017-11-03 20:20:29,臺中市,北屯區,tim,
No.11,2017-11-03 22:12:22,桃園市,桃園區,阿軒,
No.12,2017-11-03 22:30:43,臺北市,內湖區,ep,
No.13,2017-11-03 22:39:33,新北市,汐止區,阿搞,
No.14,2017-11-04 09:39:13,臺南市,佳里區,孟學,
