"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-27 12:14:29,雲林縣,大埤鄉,鈺,
No.2,2018-01-27 13:37:36,臺北市,松山區,小曼,勞基法漏洞很多! 都靠人為解釋 ! 有疑慮者皆須明定。
No.3,2018-01-27 13:54:20,臺北市,信義區,angelsky777,
No.4,2018-01-27 19:35:49,臺南市,安南區,敏,避免資方以其他名目魚目混珠
No.5,2018-01-27 21:26:27,臺中市,西區,ciao,"本薪應以經常性薪資計算，而不是基本底薪。
加班費資方都用基本底薪計算，所以加班費當然低。
而且全勤給您很高例如3000元，一旦您請事假一天薪資就會被扣全勤3000元+一天薪資=4000元以上起跳超可怕的，除非您有特休假否則您一個月薪資就GG了!
所以本薪應以經常性薪資計算，加班費也是以本薪應以經常性薪資計算。
可怕的資方，勞動部有聽到嗎?立委是否可加油!"
No.6,2018-01-28 00:12:08,桃園市,中壢區,以馬內利,
No.7,2018-01-28 01:04:47,新北市,蘆洲區,傑,這樣雇主才不會用各種名目逃避勞健保
No.8,2018-01-28 10:12:39,屏東縣,潮州鎮,阿霖,同意
No.9,2018-01-28 10:55:00,臺北市,信義區,熙熙,
No.10,2018-01-28 15:41:57,高雄市,鼓山區,Ian,

