"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-22 07:14:04,臺北市,大安區,文青,
No.2,2017-11-22 07:34:32,臺中市,霧峰區,YiF,
No.3,2017-11-22 10:15:41,新北市,新莊區,Elvis,
No.4,2017-11-22 18:33:36,新北市,石門區,健健,支持，不然酒駕更冷血又更無情撞死很多人
No.5,2017-11-22 21:37:23,臺北市,士林區,BENLEE,
No.6,2017-11-23 21:02:35,高雄市,岡山區,阿美,
No.7,2017-11-23 22:01:30,臺北市,士林區,Ting,
No.8,2017-11-24 11:11:08,臺中市,后里區,小賴,
No.9,2017-11-24 22:10:14,臺中市,龍井區,阿昇,使用者付費的概念，很棒
No.10,2017-11-24 22:27:16,臺中市,南屯區,Mingchih,
No.11,2017-11-25 15:58:15,彰化縣,彰化市,CH Liu,
No.12,2017-11-25 16:59:56,新竹縣,芎林鄉,MEOWLIKE,
No.13,2017-11-25 17:02:36,臺南市,南區,gua,
No.14,2017-11-25 17:03:12,高雄市,三民區,Saber,
No.15,2017-11-25 17:03:36,新北市,永和區,家豐,
No.16,2017-11-25 17:03:48,雲林縣,斗六市,KJ,拜託酒駕的人都抓去槍斃吧
No.17,2017-11-25 17:03:49,臺中市,太平區,腳痛不痛痛,
No.18,2017-11-25 17:04:54,宜蘭縣,冬山鄉,Z,支持
No.19,2017-11-25 17:05:33,桃園市,桃園區,樵夫,
No.20,2017-11-25 17:06:54,臺東縣,臺東市,謝東翰,
No.21,2017-11-25 17:07:31,桃園市,平鎮區,四輪大爺,
No.22,2017-11-25 17:07:43,彰化縣,員林鎮,DancingWolf,"酒駕都垃圾,慣性違規也是垃圾,保費提高至少有點點嚇阻作用,總比什麼都沒做好"
No.23,2017-11-25 17:08:49,嘉義市,東區,魚,"我繳保險好像是為了避免""被""車禍的狀況好像怪怪的啊"
No.24,2017-11-25 17:10:50,新北市,新店區,明淳,
No.25,2017-11-25 17:10:59,高雄市,林園區,石化白鷺鷥,
No.26,2017-11-25 17:12:12,彰化縣,鹿港鎮,酒駕混蛋,
No.27,2017-11-25 17:17:00,臺中市,南區,芭樂,
No.28,2017-11-25 17:17:54,桃園市,桃園區,茶壺,
No.29,2017-11-25 17:19:22,高雄市,茂林區,Redless,
No.30,2017-11-25 17:20:37,臺中市,龍井區,夏洛特,
No.31,2017-11-25 17:20:55,臺中市,西區,🐔,🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔
No.32,2017-11-25 17:22:32,臺北市,大安區,屁孩,去你個酒駕***
No.33,2017-11-25 17:23:19,新北市,新莊區,Stark,
No.34,2017-11-25 17:23:50,新北市,泰山區,Ericsun,"原本 交通部就應該擔起「管理」的責任，以為呼口號就能降低事故，應該是把民眾當笨蛋耍
一天因車禍喪生的人數高達8人，想想台灣每天都颱風，也沒死亡這麼多人
『交通部這是你 「應盡管理的義務」，不是「福利」』"
No.35,2017-11-25 17:26:02,臺南市,新化區,天空,
No.36,2017-11-25 17:27:25,新北市,三重區,蔡蔡,
No.37,2017-11-25 17:28:18,新北市,淡水區,黑隼,認同
No.38,2017-11-25 17:28:39,臺南市,永康區,sunnew,酒駕就是蓄意殺人
No.39,2017-11-25 17:30:39,新北市,永和區,Doert,酒駕太嚴重了八
No.40,2017-11-25 17:31:01,桃園市,平鎮區,asdfgh99948,
