"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-12 10:44:19,臺北市,中正區,又,過去的電費真的太低了
No.2,2017-08-12 13:43:48,南投縣,南投市,wesley16888,"非常贊成本提議案;

但前提是2025前火力發電必須完全由綠能或核電二擇一取代

另建議應請民進黨政府提出2025年為止的綠能計畫;並請相關能源及經濟學者考察北歐及歐洲的各國種電或綠能的產電公司與賣電及輸配電產業公司如何使綠能便宜又足夠;請民進黨政府先不要喊出2025非核家園;不管接下來誰執政;話先不要說得太滿

2025不如先喊出完全廢除火力發電比較實際吧  2025前火力發電必須完全由綠能或核電二擇一取代"
No.3,2017-08-12 16:19:38,高雄市,三民區,angellin,發電自由化，讓人民有選擇電力來源的權力
No.4,2017-08-12 18:14:45,桃園市,大溪區,terry,
No.5,2017-08-12 18:55:29,花蓮縣,吉安鄉,Jun,無恥菜、用愛發電1度100萬元，用騙發電1度1000萬元
No.6,2017-08-12 20:33:34,新北市,三重區,無聊,
No.7,2017-08-13 00:29:14,雲林縣,斗六市,健宏,
No.8,2017-08-13 10:28:31,高雄市,仁武區,Be quietly,
No.9,2017-08-13 15:01:22,高雄市,仁武區,高雄大笨熊,
No.10,2017-08-14 08:10:41,高雄市,小港區,六,"支持電費比例計價
另外，環保意識抬頭，大家已經放棄使用核能，
希望能讓各環保用戶用電時能選擇自家用電種類
例如綠能100%等等"
No.11,2017-08-14 09:54:20,新北市,五股區,張元,基層部隊應該更適合台灣氣候的服裝，而不是帥氣的服裝。軍對是要打仗的，不是比美的。
No.12,2017-08-14 13:20:57,桃園市,楊梅區,老月,
No.13,2017-08-14 13:48:44,基隆市,信義區,阿呆,
No.14,2017-08-14 13:55:29,基隆市,中正區,ingrid,
No.15,2017-08-14 15:36:44,基隆市,仁愛區,Ivy,
No.16,2017-08-14 23:18:11,高雄市,楠梓區,員外,
No.17,2017-08-15 17:38:44,高雄市,仁武區,0857,附議
No.18,2017-08-16 20:32:01,新北市,新店區,王阿吉,
