"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-08 08:28:13,新北市,板橋區,min,
No.2,2018-05-08 10:22:09,桃園市,大園區,joyce,
No.3,2018-05-08 11:16:39,新北市,土城區,我是大鳳梨,
No.4,2018-05-08 13:24:24,臺北市,大安區,Christina Wang,
No.5,2018-05-08 14:08:10,桃園市,桃園區,Murphy,沒有人喜歡荷包縮水，違停者也許會為了避免被高額罰鍰而找合法的位子暫停。
No.6,2018-05-08 14:27:24,高雄市,苓雅區,TIM,良好的社會需要你我來維護
No.7,2018-05-08 16:31:34,桃園市,大園區,Jason,此提案可減少違停動機，恢復社會秩序，減少行人權益被侵害的民怨，檢舉者得到維持社會秩序的獎勵，政府可增加財政收入，可謂一石五鳥之計，值得政府全力推動！
No.8,2018-05-08 17:04:57,臺北市,士林區,Amber,贊成
No.9,2018-05-08 17:22:56,新北市,土城區,Kelp,警察根本不執法，罰一億、車輛直接報廢也沒用
No.10,2018-05-08 17:22:57,新北市,新莊區,匿名人士,非常同意
No.11,2018-05-08 18:56:43,臺北市,萬華區,阿成,贊成👍
No.12,2018-05-08 19:45:43,高雄市,三民區,"JTW ",
No.13,2018-05-08 20:29:56,高雄市,三民區,Fang ch,
No.14,2018-05-08 23:32:44,臺北市,文山區,Han,
No.15,2018-05-09 01:33:52,新北市,新莊區,吃純粹,
No.16,2018-05-09 07:32:56,雲林縣,大埤鄉,福音,讚
No.17,2018-05-09 08:15:04,臺北市,北投區,C,違停斑馬線及路口於實質上的確危害到其他用路人的權益，如行人因違停車輛以致無法走斑馬線過馬路發生危險時，很容易演變為行人不遵守交通規則闖馬路，以致要行人自行負責，違停路口造成其他車輛需繞道行駛，如發生事故會增加警察的工作，也造成其他用路人的損失，應以嚴懲制止。
No.18,2018-05-09 08:43:13,臺北市,北投區,CC695,"目前的罰款都太低,造成台灣人民""隨便""、""停一下又沒關係""及""反正警察又不會抓""的投機心態,就算""不幸""被抓罰的又不多,更是助長了這些心態的滋生,若能重罰,必有人人時時守法的成效"
No.19,2018-05-09 08:53:45,臺北市,北投區,Bryan,
No.20,2018-05-09 09:57:56,桃園市,中壢區,X,贊成
No.21,2018-05-09 10:51:28,新北市,新店區,毛毛,
No.22,2018-05-09 11:47:00,新竹縣,竹北市,andrei,
No.23,2018-05-09 12:32:12,新北市,淡水區,安公子,
No.24,2018-05-09 22:46:06,新北市,樹林區,傑森,

