"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-29 08:34:57,新北市,永和區,茶葉王,管理勝於釋出
No.2,2017-11-29 08:36:24,新北市,新店區,江小魚,
No.3,2017-11-29 08:49:02,南投縣,南投市,奇龍,
No.4,2017-11-29 08:49:33,新北市,林口區,"pc820701 ",想得到利益就要付出相當責任
No.5,2017-11-29 08:55:25,臺北市,北投區,E,
No.6,2017-11-29 09:23:30,臺北市,北投區,Formosan,
No.7,2017-11-29 10:29:08,臺北市,內湖區,Flora,
No.8,2017-11-29 10:30:37,臺北市,北投區,露露,
No.9,2017-11-29 11:22:57,宜蘭縣,宜蘭市,周本丸,
No.10,2017-11-29 14:19:02,新北市,三重區,vicchen,"因為代租管,只想賺錢,一但出租套房出事,會造成重大傷亡,"
No.11,2017-11-29 15:27:33,新北市,板橋區,冬冬,
No.12,2017-11-29 16:07:47,新北市,三重區,cat,
No.13,2017-11-29 16:22:07,新北市,永和區,Sindy,
No.14,2017-11-29 16:39:54,南投縣,名間鄉,大頭,
No.15,2017-11-29 21:04:02,臺北市,大同區,KYL,
No.16,2017-11-29 21:34:55,南投縣,南投市,球球,符合利益與責任對等的前題
No.17,2017-11-30 08:29:26,彰化縣,彰化市,非非,
No.18,2017-11-30 10:58:06,臺北市,中正區,小雯,
No.19,2017-11-30 19:49:41,高雄市,岡山區,阿賢,贊成
No.20,2017-12-01 08:02:02,新北市,板橋區,A-Liang,
No.21,2017-12-01 08:27:14,臺北市,內湖區,Snail,權利義務需對等平衡
No.22,2017-12-01 09:02:01,臺北市,松山區,小安,
No.23,2017-12-01 09:07:56,新北市,新莊區,妮子8728,
No.24,2017-12-01 09:33:21,臺北市,文山區,hork,
