"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-08 16:23:44,高雄市,前鎮區,Jiji,"在fb廣告買石榴石串珠手鍊$999, 貨到付款. 卻收到10元商店賣的塑膠手鍊, 價值約$30,想退貨卻沒寄件者地址與電話. 發現詐騙者也在fb賣銀飾與金飾手鍊,手錶, 要小心."
No.2,2017-09-10 12:10:03,臺北市,內湖區,Alice,
No.3,2017-09-10 12:33:55,新北市,中和區,yuanzero,
No.4,2017-09-10 14:21:09,新竹市,北區,新竹人,
No.5,2017-09-14 15:18:57,桃園市,楊梅區,Kirby chen,
No.6,2017-09-15 20:55:00,新北市,新莊區,kiwi,"貨到付款卻不能當場檢查產品，導致即使貨到付款也會被詐騙。
購買者因無法檢查產品，而先付款給宅配公司，當宅配員離開後，發現產品不符也無法跟克服反映，甚至是退貨。導致金錢損失。同時，該種詐騙皆以高價物低價販售，數萬元產品以千元販售，利用低價吸引大批顧客，達到詐騙目的。"
No.7,2017-10-10 21:34:48,屏東縣,屏東市,ghbio364,
No.8,2017-10-19 17:48:26,彰化縣,北斗鎮,321,agree
No.9,2017-10-22 18:03:57,高雄市,三民區,stupid,
No.10,2017-10-22 22:54:16,臺南市,仁德區,ku,
No.11,2017-10-24 19:01:18,高雄市,鳳山區,小步,
