"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-11 15:47:18,雲林縣,虎尾鎮,ㄗ,123123123
No.2,2018-04-11 15:52:36,雲林縣,斗六市,123,111
No.3,2018-04-11 17:51:11,新北市,三芝區,XX,
No.4,2018-04-11 19:29:12,彰化縣,彰化市,核統,
No.5,2018-04-11 20:56:04,桃園市,桃園區,Ivy,
No.6,2018-04-11 21:07:55,新北市,淡水區,Anna,我每天生活中太多有毒的香味，不管是公共場所的廁所的芳香劑，飯店精油的香味，一些店家在浴室或者是服飾店的香味這些完全都沒有一個合法安全的管制，我們天道玩都在跟這些有毒的香料接觸，清潔汽車的打臘的香味，強迫我們必須接觸這些有害身體的香味，保護我們的下一代更保護我們的身體健康，所以需要大家的力量跟政府的幫忙丶所以我贊成把這些有多有毐的香水者是香料，救救我們的環境，需要盡自己的力量！
No.7,2018-04-11 21:09:35,桃園市,中壢區,K,
No.8,2018-04-11 22:03:56,新北市,新店區,J CHEN,
No.9,2018-04-11 23:13:18,新北市,三重區,Kevin,
No.10,2018-04-12 07:55:13,新北市,中和區,醬油瓶,還給大家一個清新自然的生活空間。不要再有化學藥物的荼毒。
No.11,2018-04-12 09:16:19,新北市,板橋區,YS,
No.12,2018-04-12 09:33:15,臺中市,北區,SuSu,支持禁用化學合成香料於個人及居家清潔用品(洗衣精/柔衣精/洗髮精/沐浴乳/刮鬍液/洗廁剤，垃圾袋…)，讓香害遠離你我，給大家一個更清新的環境。
No.13,2018-04-12 09:49:53,新北市,新店區,湯湯,"有些化學合成香料已被證實具毒性及過敏性，被歐盟禁用

國內的環保署，衛福部還在睡覺? 政府有何作為?

這是新的二手香害! 吸菸早期是歐洲上流社會時髦玩意，花了三百年才被管制。 化學香味 難道還要等三百年?

利益與影響
化學合成香味對人體具致癌性及神誙毒性，對環境造成污染，遺禍子孫"
No.14,2018-04-12 11:57:45,高雄市,小港區,蘭心,
No.15,2018-04-12 12:42:55,新北市,中和區,高,
No.16,2018-04-12 12:44:41,新北市,板橋區,奔跑跑,
No.17,2018-04-12 12:49:24,新北市,板橋區,月落雨川,

