"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-01 10:19:59,新北市,烏來區,法蘭西,現行的台鐵制度已經實行40多年，而且國人都習慣原有名稱不需要再花費金錢在這做文章，倒是應該盡快汰換老舊車種，例如莒光號與柴油車型多引進像普悠瑪號新型快車，還有些地方車站也該改建為新建築更能提供好的設備與服務。
No.2,2017-11-01 12:56:06,高雄市,鼓山區,阿提娜雅絲,反對去中化
No.3,2017-11-01 15:23:36,臺南市,官田區,Momo,
No.4,2017-11-01 19:02:54,臺北市,大安區,皇帝,
No.5,2017-11-01 21:24:01,桃園市,新屋區,00,
No.6,2017-11-01 21:38:24,高雄市,三民區,sunshine0962,
No.7,2017-11-01 22:26:52,高雄市,前鎮區,文哥,
No.8,2017-11-02 11:07:20,新北市,汐止區,CHOU,
No.9,2017-11-02 11:28:59,桃園市,桃園區,米奇,不需為無聊的事浪費社會成本
No.10,2017-11-02 19:00:03,臺北市,萬華區,KC,
No.11,2017-11-02 20:52:42,臺北市,信義區,angelsky777,
No.12,2017-11-03 07:10:59,臺南市,安平區,小珍,
No.13,2017-11-03 09:35:49,臺南市,永康區,小桃,一昧的想學國外貶低自己國家的文化特色，實在不可取，為了讓外國人了解，可以用說明的方式輔助
No.14,2017-11-03 12:41:55,臺中市,沙鹿區,666,
No.15,2017-11-03 12:57:24,臺中市,大里區,"Bonnie ",改名字真的就不像台鐵了😡😡
