"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-01 00:35:39,臺北市,大同區," cheng",
No.2,2017-11-01 15:04:39,臺北市,文山區,杉杉,"雖然贊成行政區重劃
但覺得應該以微調方式處理
回復至二直轄市、五省轄市、十六縣
並且撤基隆市另設基隆縣（金山/萬里/基隆/汐止/瑞芳/平溪/雙溪/貢寮）為宜"
No.3,2017-11-01 16:52:08,臺南市,善化區,richard,
No.4,2017-11-01 19:40:12,新北市,板橋區,唐納川普,
No.5,2017-11-01 20:40:25,臺中市,南屯區,v86861062,
No.6,2017-11-01 21:37:30,嘉義市,西區,抹茶,
No.7,2017-11-02 00:19:03,臺中市,西屯區,NnQnN,
No.8,2017-11-02 09:15:56,臺中市,大里區,喬治,
No.9,2017-11-02 09:16:34,臺中市,大甲區,落雨聲,
No.10,2017-11-02 17:56:39,高雄市,鹽埕區,Vincent,
No.11,2017-11-02 22:34:36,嘉義縣,水上鄉,Cile,
No.12,2017-11-03 06:49:20,南投縣,南投市,wei,
No.13,2017-11-03 14:20:34,臺北市,萬華區,William,
No.14,2017-11-03 14:40:49,桃園市,蘆竹區,浤翼,
No.15,2017-11-03 22:31:57,新竹市,北區," 藍貓","台灣那麼小,行政區太多了"
No.16,2017-11-04 11:21:57,桃園市,平鎮區,靜靜,
