"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-14 18:12:41,高雄市,三民區,"JTW ",
No.2,2018-04-15 00:11:07,臺中市,潭子區,yui,犯罪證據若掌握完全卻確實，沒有拖延死刑的必要性，有資格原諒兇手的只有死者跟受害者家屬，法官自由心證一點立場都沒有，失去家人受到影響的人又不是法官。
No.3,2018-04-16 09:20:36,高雄市,楠梓區,小老百姓,"贊成依法執行死刑,為何要任由少數人吵鬧就剝奪受害者討回公平正義的權力"
No.4,2018-04-16 11:53:26,高雄市,楠梓區,George21023,
No.5,2018-04-16 12:04:56,高雄市,楠梓區,zephoenixro,
No.6,2018-04-16 19:07:29,臺南市,永康區,william,
No.7,2018-04-17 16:15:11,新北市,永和區,shotgunlulu,
No.8,2018-04-17 17:22:07,新北市,金山區,落晰,無
No.9,2018-04-20 04:18:24,臺南市,永康區,Jake,
No.10,2018-04-20 12:24:41,臺中市,太平區,AROD,
No.11,2018-04-20 18:53:57,彰化縣,伸港鄉,養樂多好苦,
No.12,2018-04-21 00:14:28,高雄市,楠梓區,ZRX1200S,
No.13,2018-04-22 14:39:01,高雄市,小港區,小王,支持
No.14,2018-04-22 23:01:13,彰化縣,彰化市,liu8106,依法嚴辦
No.15,2018-04-23 10:49:48,臺中市,豐原區,Monet,
No.16,2018-04-24 11:04:59,新北市,泰山區,Christ,
No.17,2018-04-24 23:42:29,桃園市,大溪區,QQ,
No.18,2018-04-26 23:10:13,彰化縣,福興鄉,洪先生,死刑犯永遠不會死

