"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-01 17:54:41,臺北市,信義區,皇龍,
No.2,2018-04-02 02:03:12,臺北市,大同區,大獅子,新聞亂象需導正
No.3,2018-04-02 07:20:21,臺中市,北屯區,HCY0319,
No.4,2018-04-02 07:57:54,臺北市,中山區,茄,現行媒體為了吸引讀者，老報導不實報導，誤導民眾，政府應做立一些法案來控管
No.5,2018-04-02 09:30:06,臺北市,中山區,小正,
No.6,2018-04-02 09:48:54,臺北市,內湖區,Owen,
No.7,2018-04-02 09:59:58,新北市,永和區,Amy,政府應建置一個留存不實報導紀錄以及對應的正確資訊查找的單一平台
No.8,2018-04-02 10:39:32,新北市,永和區,米勒,
No.9,2018-04-02 10:47:38,新北市,永和區,圓圓,
No.10,2018-04-02 10:51:31,臺北市,信義區,Jeremy,
No.11,2018-04-02 12:33:47,高雄市,大社區,Jason,支持
No.12,2018-04-02 13:40:17,臺南市,安平區,周潔咪,
No.13,2018-04-02 19:18:49,高雄市,路竹區,"Macauleycheng ",

