"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-14 11:04:33,高雄市,岡山區,BloodyLegion鬼王,
No.2,2018-04-14 14:01:10,高雄市,梓官區,羽,
No.3,2018-04-14 14:50:48,南投縣,南投市,Shin,
No.4,2018-04-15 09:48:44,嘉義市,東區,虎頭蜂,
No.5,2018-04-15 19:38:14,桃園市,八德區,璇,
No.6,2018-04-16 21:42:38,高雄市,鳳山區,鑽地龍,
No.7,2018-04-18 11:13:02,臺北市,信義區,Hero,歡迎支持我們的公民電廠提案 ：https://join.gov.tw/idea/detail/81bad6d9-2265-457b-ba75-f333f3681873
No.8,2018-04-19 07:55:32,屏東縣,崁頂鄉,隱歿,
No.9,2018-04-21 00:15:13,高雄市,楠梓區,ZRX1200S,
No.10,2018-04-23 08:28:46,臺北市,大同區,Bourne,
No.11,2018-04-23 13:49:19,高雄市,彌陀區,JingCheng,
No.12,2018-04-27 18:16:08,基隆市,七堵區,美國欸,能讓16歲的名下有車 也該讓他們有駕照吧
No.13,2018-04-27 18:48:46,新北市,五股區,錒靈,此想法有好有壞，但我相信能通過考照反而可以讓無照駕駛的年輕人們更有交通規則的概念
No.14,2018-04-27 18:52:18,桃園市,新屋區,林育德,
No.15,2018-04-27 18:58:25,新北市,板橋區,地主,支持
No.16,2018-04-27 18:59:49,新北市,板橋區,Wilson,離上課的地方有點遠，有了摩托車方便許多，上課的時間也不會這麼趕

