"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-31 00:58:11,新竹市,北區,小錢,絕對支持!!
No.2,2017-10-31 01:24:52,彰化縣,花壇鄉,張詞,
No.3,2017-10-31 01:30:14,高雄市,小港區,睿睿,
No.4,2017-10-31 02:13:08,新竹市,香山區,約翰,
No.5,2017-10-31 02:21:00,高雄市,大社區,世函,
No.6,2017-10-31 03:30:08,新北市,三重區,Ashley,
No.7,2017-10-31 05:09:55,臺北市,松山區,miss,
No.8,2017-10-31 09:07:27,臺中市,大里區,喬治,
No.9,2017-10-31 09:11:17,臺東縣,臺東市,小峰,勞檢人員不足，且罰鍰太低，應該要增加刑罰(有期徒刑、拘役)，並增加罰鍰金額，要不然法條越修越鬆，慣老闆只會越來越多。
No.10,2017-10-31 10:28:39,桃園市,龍潭區,風祤,
No.11,2017-10-31 10:39:41,雲林縣,斗六市,旅星,支持勞動權
No.12,2017-10-31 11:14:20,新竹市,香山區,兒兒兒,
No.13,2017-10-31 11:38:38,南投縣,草屯鎮,Boddy Lin,罰鍰太低，每次都是【重罰】兩萬，資方根本有恃無恐，台灣勞動環境之差已經丟臉丟到國外，違法資方更該被處以刑罰，如此一來才能杜絕大部分惡劣資方壓榨剝削勞工的行徑。
