"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-06 08:54:04,臺北市,北投區,加涼鞋,"對了，規定上班要穿涼鞋，才可以省洗襪子，節能省碳，
但，腳臭問題要先解決，
賣腳臭產品的生技公司又可以大賺錢了，促進生物科技的發展"
No.2,2017-06-06 09:30:25,臺中市,烏日區,琳琳,節能減碳
No.3,2017-06-06 12:39:25,新北市,中和區,Pluto,
No.4,2017-06-06 20:43:41,澎湖縣,白沙鄉,wei hong hong,
No.5,2017-06-07 15:23:31,臺中市,南區,龍貓,
No.6,2017-06-11 18:25:07,臺北市,大安區,康至青,
No.7,2017-06-14 11:11:47,臺南市,永康區,Jake,
No.8,2017-06-18 23:09:39,雲林縣,東勢鄉,Swallow,
No.9,2017-06-27 17:07:45,彰化縣,彰化市,核統,
No.10,2017-07-14 22:10:35,新北市,板橋區,ee,
