"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-22 09:53:36,宜蘭縣,頭城鎮,郭,
No.2,2018-03-22 10:49:50,新北市,五股區,阿甘,
No.3,2018-03-22 11:15:12,宜蘭縣,頭城鎮,Lin,讚成
No.4,2018-03-22 11:15:30,新北市,五股區,秀秀,
No.5,2018-03-22 11:30:56,宜蘭縣,頭城鎮,阿晟,
No.6,2018-03-22 11:44:23,宜蘭縣,壯圍鄉,大狗,
No.7,2018-03-22 11:55:08,新北市,鶯歌區,小田,
No.8,2018-03-22 12:11:04,宜蘭縣,頭城鎮,小寶,
No.9,2018-03-22 20:18:19,宜蘭縣,宜蘭市,青島一號,猴滿為患，毋須保育
No.10,2018-03-22 20:56:01,臺北市,萬華區,shin205,
No.11,2018-03-22 21:08:26,臺北市,大安區,竹庭,
No.12,2018-03-22 21:15:19,宜蘭縣,頭城鎮,蛋黃酥,
No.13,2018-03-22 21:38:59,新北市,汐止區,Goldie,
No.14,2018-03-22 21:39:17,南投縣,國姓鄉,jwo,要減少猴子數量不然以後農民沒作物可收
No.15,2018-03-23 00:02:50,嘉義縣,溪口鄉,傲天神遊,有需要在保育就好了
No.16,2018-03-23 12:21:24,屏東縣,崁頂鄉,傻傻,
No.17,2018-03-23 12:26:29,宜蘭縣,頭城鎮,amy,現在的彌猴數量已經多到會危害人民的安全及農民的收成了
No.18,2018-03-23 16:35:07,宜蘭縣,頭城鎮,Cindy,獼猴猖獗
No.19,2018-03-23 16:50:36,宜蘭縣,頭城鎮,Cindy2,獼猴太多
No.20,2018-03-23 20:15:14,宜蘭縣,宜蘭市,滑石,對農民的作物，無情的毀損，難以防護。
No.21,2018-03-23 21:02:28,新北市,永和區,楊老大,獼猴數量多，已經無保育必要，又常照成農損，所以支持
No.22,2018-03-23 21:39:31,宜蘭縣,頭城鎮,哈哈哈哈 哈哈哈,支持除名
No.23,2018-03-23 21:57:17,臺北市,中山區,Tony,繁植太多，對農民住家形成困擾
No.24,2018-03-23 23:30:44,宜蘭縣,頭城鎮,鮭魚,支持
No.25,2018-03-24 08:42:24,宜蘭縣,宜蘭市,fleshyuki,
No.26,2018-03-24 12:45:52,新北市,永和區,孫國智,
No.27,2018-03-24 12:56:17,雲林縣,古坑鄉,Shawn,政府要作適當的管制數量
No.28,2018-03-24 14:02:50,臺北市,大安區,豪,
No.29,2018-03-24 16:39:27,苗栗縣,苑裡鎮,翔哥,除了也好，不然農民很可憐
No.30,2018-03-24 18:49:04,新北市,林口區,Tl,Agree
No.31,2018-03-24 20:02:08,嘉義縣,竹崎鄉,John,本該不保育，但也生動物保護法呢？
No.32,2018-03-24 21:08:24,宜蘭縣,頭城鎮,小黃,猴子會吃農作物  導致人的飲食  會被肯光
No.33,2018-03-24 21:20:09,宜蘭縣,頭城鎮,屁屁,最近對農作物的影響很大， 亂吃害農民沒有收成
No.34,2018-03-24 21:54:27,臺中市,東區,寶哥,動物需要保護，讓地球生物共存，保護環境。
No.35,2018-03-25 12:35:52,花蓮縣,秀林鄉,Chengen,支持台灣獼猴 保育類移除
No.36,2018-03-25 14:44:55,臺中市,北區,台中金城武樹,當年澳洲將邊臨滅絕的袋鼠列為保育類動物，結果導致現在不但過多影響環境，甚至賣袋鼠肉的餐廳竟然籌為地方特色，台灣應該趁災害範圍還來得及控制趕緊處裡
No.37,2018-03-25 16:47:54,宜蘭縣,頭城鎮,王子,
No.38,2018-03-26 09:52:07,宜蘭縣,頭城鎮,馬加,
No.39,2018-03-26 09:52:31,宜蘭縣,冬山鄉,0000,
No.40,2018-03-26 10:34:23,新北市,中和區,蔡蔡,
No.41,2018-03-26 10:56:35,高雄市,鼓山區,穆韋,
No.42,2018-03-26 11:08:57,宜蘭縣,冬山鄉,9999,
No.43,2018-03-26 11:21:16,屏東縣,霧臺鄉,盧志良,支持將台灣獼猴從保育類名單移除
No.44,2018-03-26 11:46:12,新北市,淡水區,james732,
No.45,2018-03-26 20:02:45,宜蘭縣,頭城鎮,寬寬,
No.46,2018-03-26 20:59:00,臺南市,永康區,r774390,
No.47,2018-03-26 21:36:22,宜蘭縣,頭城鎮,Ching,我支持
No.48,2018-03-26 21:49:30,新北市,三重區,playgamenow,
No.49,2018-03-26 22:23:55,宜蘭縣,頭城鎮,DowDow,
No.50,2018-03-27 09:35:24,臺北市,士林區,Michael Lee,
No.51,2018-03-27 10:14:59,雲林縣,北港鎮,Jack Li,建議訂海拔高度為獼猴保護區
No.52,2018-03-27 10:26:01,新竹縣,竹北市,Kk,支持台灣獼猴移除自保育類名單，搶奪人類食物也代表其擁有攻擊性，應設定海拔區域來保育，不然很難共存！
No.53,2018-03-27 11:03:22,宜蘭縣,頭城鎮,Lu33,
No.54,2018-03-28 07:05:10,新北市,蘆洲區,胖維,
No.55,2018-03-28 11:03:51,宜蘭縣,宜蘭市,黃姊,

