"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-30 19:12:01,臺南市,柳營區,Ricky,
No.2,2017-12-01 09:16:13,臺北市,松山區,小安,
No.3,2017-12-02 18:15:52,臺北市,中正區,angelsky_777,
No.4,2017-12-03 22:04:21,高雄市,三民區,sunshine0962,
No.5,2017-12-05 12:22:24,臺南市,安南區,egz,
No.6,2017-12-07 18:14:48,臺中市,中區,kk,
No.7,2017-12-08 22:21:57,桃園市,中壢區,"阿信Kenji ",
No.8,2017-12-09 10:34:47,嘉義市,西區,wang,
No.9,2017-12-11 09:42:46,新北市,永和區,D.C.,
No.10,2017-12-11 11:21:29,新北市,中和區,ps,
No.11,2017-12-19 19:48:04,臺南市,永康區,r774390,
No.12,2018-01-07 15:39:09,高雄市,湖內區,影皮,
No.13,2018-01-07 19:46:48,新北市,三重區,Vagabond,
No.14,2018-01-08 14:59:57,新北市,板橋區,darkhsu,認同，台灣的馬路真的對用路者很不友善，坑坑洞洞，更別提機車族的殺手：標線與人孔蓋。

