"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-16 19:29:28,新北市,三重區,Dino,
No.2,2018-01-17 10:51:35,新北市,永和區,Clara,
No.3,2018-01-17 11:28:08,新北市,三重區,小華,現在行人很多不會替他人想，邊走斑馬線邊看手機或只顧聊天，完全不理會車子
No.4,2018-01-18 10:01:15,臺中市,東區,Edgar,不只轉彎時要禮讓行人，還有沒有交通號誌的街口也要。
No.5,2018-01-19 00:33:06,宜蘭縣,宜蘭市,June,支持，明明可以過馬路還要怕被轉彎的車子撞，真的很矛盾
No.6,2018-01-20 15:01:34,新北市,三重區,Vagabond,
No.7,2018-01-22 22:19:05,新北市,三重區,playgamenow,或許要在特定路口增加限定汽車轉彎或限定行人通行的時段。
No.8,2018-01-24 00:21:06,新北市,三重區,迷你馬兒,
No.9,2018-01-24 18:53:54,臺南市,北區,"Amber ",
No.10,2018-01-25 15:15:53,新竹市,香山區,T可可,
No.11,2018-02-05 05:30:36,臺南市,永康區,希伊歐,
No.12,2018-02-06 12:08:31,高雄市,梓官區,koki,
No.13,2018-02-17 14:42:07,苗栗縣,竹南鎮,"LADAKHSTONE ",

