"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-13 21:11:05,新北市,中和區,a3691197,"目前居住在機車密度高的中和區
為了機車噪音已搬到高樓層居住但仍不堪其擾
也試著於11點過後跟警方檢舉
但都置之不理
希望政府可以盡快解決"
No.2,2018-01-14 17:25:09,屏東縣,屏東市,餅乾,同意，但要保護檢舉人
No.3,2018-01-15 16:52:21,臺東縣,臺東市,振,
No.4,2018-01-15 19:31:24,新北市,三重區,playgamenow,
No.5,2018-01-15 23:10:29,臺中市,太平區,Yun,
No.6,2018-01-18 18:46:36,高雄市,左營區,boyao,
No.7,2018-01-19 17:18:05,臺中市,西屯區,Engine,
No.8,2018-01-20 14:32:03,臺北市,信義區,angelsky777,
No.9,2018-01-20 15:01:27,新北市,三重區,Vagabond,
No.10,2018-01-23 02:32:03,彰化縣,彰化市,甘大茲,早就該提供獎金了
No.11,2018-01-24 08:21:31,嘉義縣,竹崎鄉,奇綠園,
No.12,2018-01-24 15:01:45,臺北市,信義區,James,
No.13,2018-02-03 01:05:03,桃園市,蘆竹區,BruceKW,
No.14,2018-02-06 12:14:46,高雄市,梓官區,koki,

