"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-22 00:03:24,基隆市,中山區,小賢,
No.2,2018-05-22 00:31:49,新竹縣,寶山鄉,Velvy,
No.3,2018-05-22 00:41:21,新北市,板橋區,wolf,
No.4,2018-05-22 01:03:37,彰化縣,福興鄉,土豆,
No.5,2018-05-22 01:22:22,新北市,三重區,睡到飽,
No.6,2018-05-22 01:44:08,新北市,永和區,Joker,
No.7,2018-05-22 01:46:18,苗栗縣,苗栗市,隱士,
No.8,2018-05-22 01:46:41,桃園市,桃園區,阿隆,贊成
No.9,2018-05-22 02:03:03,高雄市,前鎮區,豪哥,
No.10,2018-05-22 02:27:37,臺南市,永康區,Jake,
No.11,2018-05-22 02:33:35,桃園市,龜山區,Alloy,快速道路才安全
No.12,2018-05-22 02:44:42,新竹市,北區,緯仔,我覺得至少要讓150cc以上的機車上快速道路
No.13,2018-05-22 03:19:03,臺南市,南區,Aki,
No.14,2018-05-22 03:20:49,新北市,土城區,工友,官方提的根都不是理由啊!~國人不守法習慣差~一堆以為路自己開的想怎麼騎就怎麼騎~想怎麼開車就怎麼開車才是問題吧!大家如果懂得何謂禮讓~跟都不是問題了~道路平權~對所有用路人來說都是好事啊!一堆有先入為主的觀念的人~你在使用交通工具時是什麼樣的態度與行為~不管你覺得自己爽就好還是自以為正義~你們都一樣是魔~都是只為自己而已
No.15,2018-05-22 03:21:11,新北市,三重區,nfsmw,
No.16,2018-05-22 03:34:39,新北市,土城區,JEFFREY,加油
No.17,2018-05-22 03:45:04,新北市,永和區,鋒,
No.18,2018-05-22 04:28:23,新北市,永和區,Roger,
No.19,2018-05-22 07:24:26,臺北市,大安區,阿豪,機車150c.c.足以應付快速道路或公路，請先試辦機車行駛情況。
No.20,2018-05-22 08:04:17,臺中市,北區,Leo,
No.21,2018-05-22 08:08:53,花蓮縣,吉安鄉,Jack,雖為白牌，但硬是比150以下的白牌多繳了800元的稅金，況且155的機車也可以輕鬆駕馭快速道路的最高速限，支持此提案
No.22,2018-05-22 08:10:12,臺北市,萬華區,ten,
No.23,2018-05-22 08:54:47,臺南市,東區,偉勝,
No.24,2018-05-22 09:21:46,臺中市,西區,Griffith21,加一條，排氣量50c.c.以下的汽油動力二輪車及馬達輸出功率低於0.6kW的電動腳踏車禁止行駛快速道路
No.25,2018-05-22 09:45:12,桃園市,新屋區,羅士閎,"我認為150cc排氣量的白牌機車,速度與安全性早已足夠能上快速道路,若能上快速道路,白牌機車便能省下大量的停等紅燈之廢氣排放。"
No.26,2018-05-22 09:46:40,臺北市,大同區,大呆群,交通部別發揮鴕鳥心態，150cc以上機車上快速道路絕對是可行的。
No.27,2018-05-22 10:14:40,新北市,淡水區,James,
No.28,2018-05-22 10:18:48,新北市,汐止區,Duh,
No.29,2018-05-22 10:22:01,桃園市,中壢區,iuen,我支持150cc可走快速道路
No.30,2018-05-22 10:25:45,新竹縣,湖口鄉,呂,
No.31,2018-05-22 10:27:21,新北市,淡水區,brian,
No.32,2018-05-22 10:30:40,臺北市,北投區,SU31TAK,
No.33,2018-05-22 10:32:29,新北市,新莊區,JayFJ,
No.34,2018-05-22 10:43:18,臺北市,信義區,BART,
No.35,2018-05-22 10:43:29,新北市,板橋區,白牌女子,
No.36,2018-05-22 10:57:28,嘉義縣,民雄鄉,阿達,別在歧視機車了
No.37,2018-05-22 11:06:51,基隆市,安樂區,xyxlhn,這樣可以不用在平面道路上鑽來鑽去 降低車禍風險
No.38,2018-05-22 11:16:32,臺南市,仁德區,chen,同意，白牌機車比紅牌重機安全多了
No.39,2018-05-22 11:17:47,桃園市,大園區,CHEN23,"我支持151cc以上可走快速道路,因為有繳稅金,應該有更便利的道路可以使用."
No.40,2018-05-22 11:23:02,臺中市,沙鹿區,HSu,能力越大責任越大
No.41,2018-05-22 11:23:32,臺北市,文山區,陳,
No.42,2018-05-22 11:24:55,臺北市,北投區,哈姆,
