"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-06 08:31:31,彰化縣,大城鄉,阿財,
No.2,2017-07-06 11:14:40,臺北市,南港區,Brian,支持打擊假低收
No.3,2017-07-06 19:20:11,高雄市,鳳山區,麻吉,
No.4,2017-07-06 19:27:16,高雄市,鳳山區,wei ting,
No.5,2017-07-06 23:22:48,臺北市,萬華區,鳳梨,
No.6,2017-07-06 23:57:20,嘉義市,東區,WILLY,XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
No.7,2017-07-08 21:17:04,彰化縣,彰化市,核統,
No.8,2017-07-08 21:57:06,嘉義縣,六腳鄉,龍二,
No.9,2017-07-11 00:00:56,高雄市,鳳山區,Greatree,
No.10,2017-07-12 12:03:26,南投縣,名間鄉,Yu,
No.11,2017-07-14 16:35:30,臺東縣,臺東市,棒棒,
No.12,2017-07-19 17:16:45,新北市,三重區,Daniel,
No.13,2017-07-21 13:17:38,新北市,八里區,零,
No.14,2017-07-22 20:19:59,新北市,瑞芳區,Karen,
No.15,2017-07-24 16:58:45,新北市,板橋區,wei,"有些並非真正的中低收入戶
只是工作不需要納稅 (攤販 網拍業者 水果商 小吃攤 )
如果沒有著實的審查
人民攪得稅並沒有幫助到真正應該幫助的人
那些人搞不好真正的收入都比我們上班族來得高很多"
No.16,2017-07-25 18:46:56,臺中市,大里區,木卯木登,
No.17,2017-07-26 17:35:48,高雄市,鳳山區,林上心,
No.18,2017-07-27 19:33:51,高雄市,楠梓區,CancerJun,
No.19,2017-07-30 12:29:21,新北市,板橋區,you,"應該積極處理個案
有些人的家境並不是所查詢的那樣"
No.20,2017-07-30 17:48:06,臺北市,信義區,王77,"而且應依照家庭各成員居住的區域做調整
而不是都歸在同一縣市，以同一縣市的標準作計算
如有些在生活費比較高的地方求學，那是不是花費就應該提高?
反之亦然"
No.21,2017-07-30 18:00:42,高雄市,三民區,迷子,
