"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-16 13:35:20,臺中市,北屯區,lmz,酒駕肇事 層出不窮 該再加重罰則
No.2,2017-12-17 12:13:43,臺中市,北屯區,安,
No.3,2017-12-17 13:42:46,高雄市,大樹區,欽,
No.4,2017-12-17 15:13:15,臺北市,松山區,無臉男二,一個禮拜讓他發電五小時，最多連續兩個月，這樣就算沒有多少電量，就算沒有減肥也會比較健康吧!
No.5,2017-12-17 16:51:47,彰化縣,彰化市,黃核統,
No.6,2017-12-18 11:05:18,苗栗縣,後龍鎮,YAOAY,
No.7,2017-12-18 13:08:48,新北市,三峽區,akina,
No.8,2017-12-18 17:32:57,高雄市,鳳山區,Scort,
No.9,2017-12-18 18:01:57,臺中市,南區,傑西,
No.10,2017-12-18 19:31:04,臺北市,萬華區,濤,
No.11,2017-12-18 19:38:18,新北市,三重區,playgamenow,
No.12,2017-12-18 21:58:17,新竹市,東區,阿吉,
No.13,2017-12-19 18:24:46,高雄市,大寮區,Tim,希望還是能鞭刑，用身體為大家發電也可行
No.14,2017-12-20 05:47:06,臺南市,南區,王老爺,這個想法真有意思
No.15,2017-12-20 10:13:29,臺北市,士林區,Tdrider,我覺得所有刑度都能用電量做單位，像酒駕百萬福特、殺人五十億福特，做功德愛地球挺好的
No.16,2017-12-20 10:43:16,臺北市,士林區,penlun,
No.17,2017-12-20 11:40:05,嘉義市,西區,黑豬肉,
No.18,2017-12-20 16:46:20,臺中市,大里區,Sean,"這個創意不錯，但是以目前最便宜的罰金19,500元，每度電2.7元來計算，要7,200度才夠。
而又以人體發電量約200W來算要36,000小時，每天發電2小時也要49.5年才能罰完阿。"
No.19,2017-12-20 19:58:27,新竹縣,竹北市,阿勒,
No.20,2017-12-22 17:06:30,新北市,新店區,沉重,
No.21,2017-12-23 09:45:00,新北市,三重區,花花,"真的有錢的人不怕罰錢,贊成這個作法"
No.22,2017-12-24 19:29:50,彰化縣,和美鎮,Juwel,支持體能發電
No.23,2017-12-25 14:16:34,新竹市,北區,梁小白,
No.24,2017-12-26 00:25:57,臺中市,清水區,阿駿,
No.25,2017-12-28 19:03:54,高雄市,小港區,卡丹絲,
No.26,2017-12-31 13:07:54,高雄市,左營區,OwO,

