"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-04 01:22:23,臺南市,南區,mask off,
No.2,2018-01-04 10:05:23,臺中市,北屯區,E.C,
No.3,2018-01-04 10:20:24,臺中市,沙鹿區,莊小小,
No.4,2018-01-04 16:15:42,新北市,淡水區,蔡胖胖,
No.5,2018-01-04 16:52:58,臺北市,文山區,aaaa,
No.6,2018-01-04 17:08:59,臺南市,中西區,阿仁,
No.7,2018-01-04 22:16:37,新北市,泰山區,Allison,
No.8,2018-01-04 22:45:59,高雄市,橋頭區,Ken,
No.9,2018-01-05 11:38:54,臺中市,北屯區,麥克,
No.10,2018-01-05 15:03:05,彰化縣,伸港鄉,養樂多好苦,台灣最美麗的技術是詐騙手法~而且已經揚名國際了~最好都送去大陸在教育~台灣法令都不足以嚇阻人犯罪了
No.11,2018-01-06 00:10:05,南投縣,草屯鎮,阿衡,
No.12,2018-01-06 11:19:43,彰化縣,二林鎮,Husker,
No.13,2018-01-06 11:30:09,臺北市,內湖區,"Superangry ",
No.14,2018-01-07 04:35:32,新北市,板橋區,興子爵,
No.15,2018-01-07 11:00:01,臺北市,大安區,朴雪兒,
No.16,2018-01-07 11:08:38,彰化縣,員林鎮,Gaspar,
No.17,2018-01-07 12:39:38,臺北市,大同區,霖兒,
No.18,2018-01-07 13:19:23,高雄市,左營區,凜,
No.19,2018-01-07 14:20:33,臺北市,萬華區,Xiang1119,
No.20,2018-01-07 15:42:28,高雄市,楠梓區,河,
No.21,2018-01-07 19:11:22,新北市,三重區,Vagabond,
No.22,2018-01-07 20:18:06,雲林縣,口湖鄉,李先生,
No.23,2018-01-08 07:02:48,雲林縣,斗南鎮,Rock,
No.24,2018-01-08 09:15:37,高雄市,楠梓區,zephoenixro,
No.25,2018-01-08 11:50:09,臺南市,善化區,熊寶貝,
No.26,2018-01-09 09:06:52,彰化縣,員林鎮,Lali,
No.27,2018-01-09 09:08:41,桃園市,龜山區,推,
No.28,2018-01-15 01:15:06,新北市,新店區,微風,
No.29,2018-01-15 13:09:01,彰化縣,北斗鎮,eibdhk,
No.30,2018-01-15 14:45:17,新北市,新莊區,kizema104,
No.31,2018-01-15 21:37:06,臺中市,南區,王,
No.32,2018-01-16 16:21:35,高雄市,楠梓區,同意者,
No.33,2018-01-18 10:28:38,臺中市,東區,Edgar,
No.34,2018-01-18 22:02:07,桃園市,桃園區,Susu,
No.35,2018-01-22 14:22:29,高雄市,湖內區,娘娘,

