"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-01 00:42:42,臺中市,南區,泡泡龍,我身邊很多的警員、警官朋友，台灣再這樣下去，警察為了明哲保身，不能作為，到最後吃虧的還是人民，而且支持台灣比照新加坡用嚴法治國，員警應該在執法時就免責了！台灣都是在保護惡人、歹徒的人權，警察的人權呢？？
No.2,2018-04-01 11:50:51,臺中市,大里區,jacky93,"法律的規制是道德的底線,對於違反社群共同規約的少數人,在先天上便失去其他人的容忍。執法者正當的執行職務理當受到尊重和認同。"
No.3,2018-04-01 12:52:05,新北市,新店區,六百,
No.4,2018-04-01 13:25:01,臺中市,北屯區,很奇怪,"雖然不喜歡威權，但是身為執法人員，維護台灣法治的人，在執行勤務時，就像是在菜市場買菜一樣，還要討價還價，那我們的公權力在哪??常常看見新聞不時在報導今日新北、今日台北，今日嘉義.....某某員警在執行勤務時，遭到醉漢歐打掛彩，這類的新聞層出不窮，為什麼??因為所謂的人權無限上罔，導至執法人員時畏首畏尾的，連抓拒補的逃犯時，為了自保不小心在槍戰中打死了逃犯也要吃上官司，這樣誰還敢正當的執行勤務??那如果他們在執勤中不小死被打死了，那他們家屬的人權又在哪裡??

所以附議這個提案，檢討執法過當之定義，避免人權遭踐踏

執法人員也是有人權的"
No.5,2018-04-01 19:52:12,臺中市,南區,milu,
No.6,2018-04-01 19:56:46,雲林縣,北港鎮,袋鼠,👍
No.7,2018-04-01 21:20:12,臺北市,內湖區,chih0724,
No.8,2018-04-01 22:43:19,臺南市,仁德區,一醉,每每看到一些屁孩對警察大小聲嗆聲，只覺的在台灣當警察真衰小。制服歹徒還要用辣椒水，天啊，學學美國的警察好嗎。造成這種氛圍還不就是司法，開槍打死企圖衝撞員警的歹徒還要面對司法審判。試問這樣有誰還會認真執法？
No.9,2018-04-02 08:06:20,臺北市,中山區,茄,
No.10,2018-04-02 09:20:59,彰化縣,埤頭鄉,jack,人權不適合用在違法亂紀的人
No.11,2018-04-02 09:30:08,臺北市,中山區,小正,
No.12,2018-04-02 10:12:14,新北市,三峽區,Jack,
No.13,2018-04-02 11:06:19,桃園市,中壢區,steve,
No.14,2018-04-02 11:27:59,新北市,鶯歌區,Jryuan,
No.15,2018-04-02 12:02:58,臺北市,松山區,猩大王,
No.16,2018-04-02 12:27:44,彰化縣,員林鎮,阿鈞,
No.17,2018-04-02 13:55:22,臺中市,西區,藍天,
No.18,2018-04-02 14:14:25,臺中市,神岡區,蔡承訓,支持
No.19,2018-04-02 15:00:45,臺北市,大安區,QOO,
No.20,2018-04-02 20:40:25,新竹市,北區,米格,"警察如果不能確保自己執法的安全與權威，就無法有效遏止犯罪。
犯罪者不在乎其他人的人權，任性妄為，本就在避免危及社會群體利益之目的下限制人權，避免犯罪行為一再發生。
而警察為維護社會秩序與多數人安全而行使必要之武力，以將危害掐滅於搖籃是必須的。
請給與警察尊重與安全的保證！提振警方士氣，一同為更好的世界努力！"
No.21,2018-04-02 22:15:31,花蓮縣,壽豐鄉,花蓮鴿,

