"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-24 17:44:19,屏東縣,屏東市,月夜孤城,
No.2,2017-10-24 21:47:33,屏東縣,萬巒鄉,魯國國相,
No.3,2017-10-24 22:32:39,臺中市,南區,Yellow duck,除了提案外，對於違規行駛及違規停車之汽車嚴格取締
No.4,2017-10-25 01:39:40,高雄市,鼓山區,紫,
No.5,2017-10-25 09:35:42,臺中市,西屯區,史米米,
No.6,2017-10-25 10:29:33,新竹縣,芎林鄉,邦尼投個,
No.7,2017-10-25 13:51:19,新北市,八里區,Zoe,
No.8,2017-10-25 16:54:18,新北市,土城區,八冰綠,
No.9,2017-10-25 22:08:24,高雄市,鳳山區,Jesse Sie,
No.10,2017-10-26 21:13:28,花蓮縣,新城鄉,阿典,
No.11,2017-10-27 07:58:44,高雄市,小港區,馬拉桑,
