"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-06 00:53:27,臺中市,烏日區,天地重勁破,
No.2,2017-12-06 13:54:12,桃園市,中壢區,007,贊成，現代人注重生活品質，廣告看板旗幟早不合時宜
No.3,2017-12-06 19:12:00,新北市,三重區,SIdney,
No.4,2017-12-06 23:35:35,臺南市,將軍區,Aline,
No.5,2017-12-07 00:17:41,新北市,汐止區,Goldie,
No.6,2017-12-07 12:12:21,南投縣,草屯鎮,丹尼爾,
No.7,2017-12-07 14:01:40,新北市,中和區,GT,
No.8,2017-12-07 15:05:52,臺北市,信義區,angelsky777,
No.9,2017-12-07 15:59:17,桃園市,中壢區,DAVID LIU,
No.10,2017-12-07 16:12:24,臺南市,永康區,Jason,
No.11,2017-12-07 16:25:01,新北市,金山區,落晰,無
No.12,2017-12-07 23:31:08,臺南市,麻豆區," 永銘",最好都不要在電線竿上出現
No.13,2017-12-08 00:36:32,彰化縣,社頭鄉,Shih,
No.14,2017-12-08 08:49:19,新北市,汐止區,小花,
No.15,2017-12-08 09:30:13,新北市,淡水區,米,
No.16,2017-12-08 11:22:56,桃園市,平鎮區,Gary97,
No.17,2017-12-09 02:18:28,新北市,樹林區,ㄎㄎ,
No.18,2017-12-09 04:36:12,高雄市,前鎮區,ni,
No.19,2017-12-09 14:34:28,臺中市,北屯區,酷霸,
No.20,2017-12-09 15:35:30,新北市,三峽區,akina,
No.21,2017-12-09 20:53:00,臺北市,北投區,LIN ROBERT,公共空間不得使用..可使用私人建物作看板..
No.22,2017-12-11 10:36:38,屏東縣,萬丹鄉,柚235,
No.23,2017-12-11 14:49:54,臺中市,南區,老查理,維持市容整潔 !
No.24,2017-12-11 23:14:54,高雄市,鳳山區,......,
No.25,2017-12-12 20:07:44,臺南市,仁德區,"Hsien ",很礙眼！贊成
No.26,2017-12-12 22:24:49,彰化縣,彰化市,黃核統,
No.27,2017-12-13 21:12:10,桃園市,八德區,Jason,
No.28,2017-12-15 16:52:18,新竹縣,竹北市,餅乾,同意，保障用路人安全又美觀。
No.29,2017-12-15 20:14:00,新竹縣,竹東鎮,Blue,
No.30,2017-12-17 01:28:04,高雄市,鳳山區,Chun,
No.31,2017-12-24 19:38:57,彰化縣,和美鎮,Juwel,
No.32,2017-12-26 13:02:53,嘉義市,東區,Sundancekid,
No.33,2017-12-28 11:31:24,臺南市,北區,Sandra,
No.34,2017-12-28 11:32:45,臺南市,東區,Ijs,
No.35,2017-12-28 13:06:40,桃園市,楊梅區,Rds,附議!!
No.36,2017-12-28 13:12:50,臺南市,東區,宅宅科科,
No.37,2017-12-28 14:43:39,臺南市,中西區,SARS,
No.38,2017-12-28 21:11:36,臺南市,中西區,chia,
No.39,2017-12-29 10:50:56,高雄市,鳳山區,413,廣告看板與旗幟除了有礙市容，對於環境也造成很大的污染！
No.40,2017-12-29 12:41:42,新竹縣,竹東鎮,dylandy,
No.41,2017-12-29 18:01:34,臺東縣,臺東市,Farfart,
No.42,2017-12-29 18:35:55,臺中市,太平區,ccliu,
No.43,2017-12-29 23:09:00,高雄市,林園區,Harry Jhang,
No.44,2017-12-30 08:13:37,桃園市,大園區,Jessie,
No.45,2018-01-06 22:38:21,新北市,泰山區,支持你,
No.46,2018-01-07 07:01:38,臺南市,永康區,Bear,
No.47,2018-01-09 14:01:08,臺中市,北屯區,Jackie,
No.48,2018-01-13 08:14:43,臺中市,潭子區,Hank,
No.49,2018-01-29 23:45:44,臺北市,內湖區,SYT,

