"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-17 00:27:03,新北市,新莊區,本人,個人覺得使用統一規格是市容改善的好辦法，看起來也舒適，增加市容美觀，也讓外國觀光客更有印象。
No.2,2017-06-17 09:26:27,桃園市,桃園區,William,
No.3,2017-06-17 11:24:05,臺北市,大安區,康至青,
No.4,2017-06-17 11:30:30,高雄市,彌陀區,事,
No.5,2017-06-17 13:40:06,桃園市,蘆竹區,有機芭樂,
No.6,2017-06-17 13:41:08,臺南市,新市區,極品大叔,每次颱風來這些招牌一定會被吹落造成危險看能不改電子招牌比較安全!
No.7,2017-06-17 16:11:53,臺北市,士林區,+7,"我認為側懸式招牌不需要被廢除，但是必須要''整容''
畢竟雜亂無章的招牌有損市容觀瞻
以下幾點側懸式招牌的優點及缺點論述
優點1.易辨識且好認路2.對行銷及品牌打廣告有一定的效用，進而提升消費力等等3.台灣的傳統文化傳承，熟悉的道路街景給市民一種家鄉的感動
缺點1.雜亂的招牌有損觀瞻2.對於安全性有一定的疑慮3.太亮的招牌易造成駕駛人的困擾，亮度的設定對於用路人及業者有一定的爭議在
或許懸掛式招牌需要被重整一下，但是我認為沒必要廢除，這是一種人與人之間對於生存的空間的一種認同感跟連結。"
No.8,2017-06-17 18:02:06,高雄市,楠梓區,PK,
No.9,2017-06-17 18:30:55,新北市,新店區,tin,招牌廣告應與周圍環境色調及形體不衝突，且應有規定要有店家特色，環境市容是需要全民一起努力，並要規定每年做結構檢查，生鏽因風雨脫落結果是天災??應是人禍
No.10,2017-06-17 19:36:51,臺南市,南區,晴,
No.11,2017-06-17 20:19:58,臺中市,大肚區,yqa,
No.12,2017-06-17 20:28:16,臺中市,南區,龍貓,
No.13,2017-06-17 22:05:24,桃園市,大溪區,嗯嗯嗯,
