"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-01 00:07:16,新北市,林口區,louis,
No.2,2018-03-01 08:33:36,桃園市,新屋區,800,
No.3,2018-03-02 09:43:49,新北市,新莊區,Sindy,
No.4,2018-03-05 17:52:55,高雄市,阿蓮區,阿貴,支持
No.5,2018-03-05 21:07:15,臺中市,西屯區,Tim,
No.6,2018-03-05 21:09:22,新北市,三重區,playgamenow,
No.7,2018-03-06 14:20:46,苗栗縣,竹南鎮,"LADAKHSTONE ",
No.8,2018-03-06 17:07:53,高雄市,鳳山區,freeman,"增加國民國際競爭力,像新加坡一樣從小就有國際觀跟國際語文能力"
No.9,2018-03-07 11:46:23,臺南市,佳里區,文仁,
No.10,2018-03-08 00:06:32,新北市,板橋區,興子爵,
No.11,2018-03-16 13:40:08,金門縣,金寧鄉,yeh,
No.12,2018-03-16 21:23:18,新北市,汐止區,John,
No.13,2018-03-17 01:25:44,臺北市,大同區,KW,

