"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-21 00:10:49,高雄市,楠梓區,ZRX1200S,
No.2,2018-04-21 10:03:36,彰化縣,彰化市,核統,
No.3,2018-04-21 11:31:01,臺北市,文山區,方,
No.4,2018-04-21 13:31:50,高雄市,苓雅區,哉,支持
No.5,2018-04-21 14:52:58,新北市,板橋區,Kai,
No.6,2018-04-21 15:04:51,基隆市,安樂區,Hua,
No.7,2018-04-21 15:15:35,臺中市,南屯區,Benson,
No.8,2018-04-21 15:20:03,臺中市,豐原區,ALLAN,
No.9,2018-04-22 05:22:43,臺中市,西屯區,YY,
No.10,2018-04-22 11:40:08,新北市,三峽區,elee923,
No.11,2018-04-22 22:04:20,桃園市,楊梅區,joe,
No.12,2018-04-23 09:21:13,新北市,板橋區,Devin,
No.13,2018-04-23 13:15:13,新北市,新店區,apo,
No.14,2018-04-23 13:45:59,高雄市,彌陀區,JingCheng,
No.15,2018-04-23 16:19:16,高雄市,楠梓區,zephoenixro,
No.16,2018-04-23 18:10:15,新北市,金山區,DJAREZRO,
No.17,2018-04-23 18:53:15,臺北市,萬華區,shin205,
No.18,2018-04-23 19:04:49,基隆市,七堵區,趙大大,
No.19,2018-04-23 22:16:18,新北市,新店區,12天蠍,沒錯，要交通順暢，應該用動向來分而不是車種
No.20,2018-04-23 22:47:26,臺東縣,達仁鄉,Jacky,
No.21,2018-04-24 10:24:08,臺南市,仁德區,善男子,認同
No.22,2018-04-24 22:08:18,新北市,中和區,Chou,
No.23,2018-04-25 08:27:19,屏東縣,恆春鎮,nautiluschen,
No.24,2018-04-25 23:57:30,臺中市,龍井區,杰,
No.25,2018-04-26 18:52:18,桃園市,龜山區,揚,
No.26,2018-04-26 22:05:10,臺北市,中正區,機車通勤族,各式車輛右轉 靠邊臨停接送 上下課 裝卸貨都會對直行但被強制走右側車道的機車造成危害 也不利車流順暢
No.27,2018-04-27 01:31:21,新北市,樹林區,阿卡,機車也有路權
No.28,2018-04-28 06:45:19,臺北市,北投區,賴賴,
No.29,2018-04-30 10:51:27,高雄市,鳳山區,豪,"台灣機車的數量及成交量大於汽車
台灣交通法規應以機車及重型機車為主，汽車為輔。
且汽車體積太大，台灣道路普遍較小，易造成道路阻塞塞車
應設法禁行汽車，提高機車路權，使道路交通順暢。"
No.30,2018-04-30 11:47:36,彰化縣,大村鄉,賴嘎蹦,
No.31,2018-05-03 14:37:45,嘉義市,東區,小雨,
No.32,2018-05-03 16:24:05,新北市,八里區,巨蟹座,
No.33,2018-05-04 01:29:04,彰化縣,彰化市,Cystrol,
No.34,2018-05-04 11:26:16,新北市,汐止區,CkLight,

