"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-20 12:29:02,新北市,汐止區,Goldie,
No.2,2017-07-20 20:29:31,嘉義縣,中埔鄉,玉,
No.3,2017-07-21 08:27:39,花蓮縣,花蓮市,QQ,
No.4,2017-07-21 09:37:32,臺中市,南屯區,Carl,
No.5,2017-07-21 11:08:03,彰化縣,彰化市,核統,
No.6,2017-07-21 13:29:16,新竹市,東區,大緯,安全為重，需有強制力規範
No.7,2017-07-21 18:52:18,高雄市,小港區,Dar,
No.8,2017-07-21 20:12:40,臺北市,大安區,gloden,
No.9,2017-07-21 20:28:02,高雄市,左營區,Handsomepe2002,
No.10,2017-07-21 21:22:13,新北市,中和區,Mandy,
No.11,2017-07-21 21:25:17,高雄市,鼓山區,Sandy,
No.12,2017-07-21 21:44:45,高雄市,鳳山區,fiona,
No.13,2017-07-21 22:06:42,高雄市,三民區,Yi,
No.14,2017-07-21 22:14:54,高雄市,鳥松區,Davin,
No.15,2017-07-21 23:51:25,高雄市,三民區,yulin,贊成
No.16,2017-07-22 00:10:08,高雄市,三民區,Carrie,
No.17,2017-07-22 00:13:43,桃園市,桃園區,jessica,
No.18,2017-07-22 08:04:02,嘉義縣,竹崎鄉,K,
No.19,2017-07-22 08:15:01,高雄市,苓雅區,丁力,
No.20,2017-07-22 09:27:12,臺中市,北區,Ian,
No.21,2017-07-22 09:59:43,新北市,永和區,阿尼,
No.22,2017-07-22 14:45:35,新北市,新莊區,顏小顏,
No.23,2017-07-22 14:49:42,新竹市,東區,Ciouciou,這是最基本的安全保障，保護自己也保護加油員
No.24,2017-07-22 19:39:34,新北市,瑞芳區,Karen,
No.25,2017-07-22 20:43:27,新北市,淡水區,方鬍子,
No.26,2017-07-23 14:50:18,彰化縣,員林鎮,阿瑀,
No.27,2017-07-24 11:13:53,新竹縣,竹北市,阿華,
No.28,2017-07-25 13:06:17,新北市,新莊區,Jasper,
No.29,2017-07-25 23:03:18,新北市,汐止區,Locus,
No.30,2017-07-25 23:54:54,臺中市,南區,密斯特~林,支持，安全第一
No.31,2017-07-27 02:04:48,臺北市,中正區,溫熊,
No.32,2017-07-27 10:55:34,臺中市,大雅區,綾,
No.33,2017-07-27 15:43:20,高雄市,林園區,清雲御風,
No.34,2017-07-27 23:40:18,新北市,新莊區,Happy,
No.35,2017-07-27 23:47:15,桃園市,大園區,歐陽,
No.36,2017-07-28 01:51:12,臺南市,將軍區,愛與希望,
No.37,2017-07-28 08:48:06,臺中市,潭子區,Kurt Lin,
No.38,2017-07-28 11:06:40,彰化縣,彰化市,鋒哥,
