"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-19 23:41:02,新北市,中和區,sthouse,國防部應該重新檢討人力使用，利用新的科技及管理，不要浪費人力物力做沒有意義的保表和裝備檢查，提昇真正的訓練和戰力。
No.2,2017-09-20 17:50:40,臺北市,松山區,岱,
No.3,2017-09-20 19:44:24,新竹市,香山區,斷山者,"不可沒有國防！一日沒國防，國家安全誰負責？提升國家戰力才是保衛家園維持強大國防的王道！
建立科技化、世界化、未來化的國軍非常重要"
No.4,2017-09-20 23:21:44,臺南市,東區,golfofkobe2003,
No.5,2017-09-27 10:15:55,臺北市,大同區,Thomas,
No.6,2017-10-09 14:57:34,高雄市,岡山區,悟,
No.7,2017-10-11 20:06:33,臺南市,柳營區,QOQ,
No.8,2017-10-16 06:23:55,高雄市,仁武區,X,
No.9,2017-10-16 14:08:57,新北市,鶯歌區,白武風,贊成
No.10,2017-10-16 14:35:58,高雄市,鳳山區,阿誠,陸軍需要義務役
No.11,2017-10-19 08:39:42,基隆市,安樂區,賴正庸,
No.12,2017-10-19 13:13:48,臺北市,內湖區,自由心,
No.13,2017-10-22 18:28:16,桃園市,桃園區,傑洛米,台灣没有募兵的條件，請恢復徵兵制，增加義務役待遇
No.14,2017-10-22 18:36:26,高雄市,三民區,stupid,
No.15,2017-10-22 20:32:48,臺東縣,臺東市,素小真,加油
No.16,2017-10-22 23:15:12,臺東縣,臺東市,我愛當兵,反正就是支持
No.17,2017-10-23 00:33:02,高雄市,鼓山區,男人,
No.18,2017-10-23 00:35:01,屏東縣,萬丹鄉,旻旻,建議延長兵役 兩年，提高義務役基本工資。
No.19,2017-10-23 00:49:36,臺北市,士林區,安官,
No.20,2017-10-24 08:19:04,高雄市,燕巢區,澄,
No.21,2017-10-24 15:45:38,新北市,三重區,Vaness,沒有兵員 講什麼國防都是屁話
No.22,2017-10-24 22:17:13,屏東縣,萬巒鄉,魯國國相,
No.23,2017-10-24 22:58:43,臺南市,永康區,蟹老闆,
No.24,2017-10-24 23:30:50,新北市,三重區,香菜,
No.25,2017-10-25 00:23:24,臺南市,安南區,KC,
