"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-13 09:25:09,臺北市,北投區,鳳梨,
No.2,2018-01-13 14:23:21,新竹縣,竹東鎮,Kent,
No.3,2018-01-13 21:46:20,嘉義縣,太保市,1111,
No.4,2018-01-14 23:28:40,彰化縣,北斗鎮,dgfrtuk,
No.5,2018-01-15 08:42:12,新北市,板橋區,Devin,
No.6,2018-01-15 08:46:55,新北市,中和區,John-L021,"這真的是行政怠惰, 憑甚麼我們必須被政府壓著用連微軟自己都覺得沒救的瀏覽器?"
No.7,2018-01-15 09:33:28,高雄市,楠梓區,zephoenixro,
No.8,2018-01-15 13:47:29,新北市,新店區,阿定,
No.9,2018-01-15 14:30:01,新北市,新莊區,kizema104,
No.10,2018-01-15 19:29:32,高雄市,鳳山區,Sua-gōo-lông,
No.11,2018-01-15 19:31:22,新北市,三重區,playgamenow,又不是資訊落後的國家zzz
No.12,2018-01-15 19:45:55,新北市,板橋區,naihsi,早該廢除 IE 了，國內承包商一直都沒進步
No.13,2018-01-15 22:10:20,臺南市,楠西區,ffffffuyu,
No.14,2018-01-15 22:58:52,臺南市,北區,O-K,"麻煩支持各種瀏覽器核心，而不是單純瀏覽器這種半套解法。
瀏覽器核心EX：Trident、EdgeHTML、Gecko、Blink、Webkit、Chromium"
No.15,2018-01-16 07:25:27,新北市,新莊區,Yumi,
No.16,2018-01-16 09:57:52,臺中市,太平區,BigP,"台灣科技發達
公共部門應該帶頭做起
科技進步"
No.17,2018-01-16 12:15:42,桃園市,八德區,Jason,
No.18,2018-01-16 14:14:42,新北市,新莊區,kyatapi,公部門的資訊環境應該要跟得上時代，必須要能有彈性的選擇最有效率的方式。
No.19,2018-01-16 15:05:23,新北市,鶯歌區,大灰高,都這個年代了，還限定用IE，真的很奇怪也不合理
No.20,2018-01-16 15:55:00,新竹縣,尖石鄉,機器,
No.21,2018-01-16 15:59:55,新北市,鶯歌區,路人,
No.22,2018-01-16 16:03:42,臺南市,北區,YYY,
No.23,2018-01-16 16:31:49,臺南市,北區,gg3b0,
No.24,2018-01-16 17:54:06,臺北市,文山區,Karl,至少Chrome、Firefox等瀏覽器應該要被政府網站支援
No.25,2018-01-16 22:23:50,新北市,三重區,方格子,"這世界上不是只有微軟有做電腦，有作業系統，有開發瀏覽器
這世界上的作業系統還有 OS X, Linux, Chrome OS, Firefox OS, ...
這世界上的瀏覽器還有 Chrome, Firefox, Safari, Opera, ...
這世界上有很多人是不使用，甚至電腦無法使用 IE 瀏覽器的
台灣是科技先進的國家，政府的網站不該再停留在 20 年前的狀態"
No.26,2018-01-17 08:58:37,高雄市,三民區,CJAries佑,
No.27,2018-01-17 09:37:06,臺北市,中正區,Cosmos,
No.28,2018-01-17 22:43:47,新北市,中和區,sdark,
No.29,2018-01-17 22:44:46,苗栗縣,通霄鎮,東哥,
No.30,2018-01-18 14:19:41,新北市,三峽區,grace,
No.31,2018-01-18 22:38:36,桃園市,龜山區,LALA,
No.32,2018-01-19 01:01:22,新北市,金山區,游先生,
No.33,2018-01-19 11:23:33,嘉義縣,太保市,"Kun ",
No.34,2018-01-19 18:18:14,臺中市,南區,Hana,只能用ＩＥ真的很lag
No.35,2018-01-20 07:44:13,苗栗縣,苗栗市,平安,
No.36,2018-01-20 15:01:30,新北市,三重區,Vagabond,
No.37,2018-01-20 15:30:56,新北市,板橋區,고소피아,
No.38,2018-01-22 02:29:40,桃園市,平鎮區,jeffma,
No.39,2018-01-22 10:23:09,臺中市,大里區,花,
No.40,2018-01-22 11:49:08,高雄市,彌陀區,吱吱,
No.41,2018-01-23 13:49:54,臺北市,中山區,糖醋魚片,
No.42,2018-01-24 11:05:54,臺南市,安南區,淨,
No.43,2018-01-24 11:38:41,高雄市,鳳山區,香草,
No.44,2018-01-26 14:16:29,臺北市,松山區,lovetogothere,
No.45,2018-01-27 14:09:05,臺北市,信義區,angelsky777,
No.46,2018-01-29 08:41:18,彰化縣,二水鄉,夜語花兒,
No.47,2018-01-30 22:48:09,新竹縣,竹北市,cjcj,
No.48,2018-01-30 23:36:14,嘉義市,西區,kennhuang,
No.49,2018-02-17 14:42:18,苗栗縣,竹南鎮,"LADAKHSTONE ",
No.50,2018-02-20 13:19:29,新北市,板橋區,HC,他們覺得電腦不就應該要是windows嗎？還有人連windows是什麼都不知道
No.51,2018-02-23 10:25:36,臺中市,西區,srsarch,

