"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-17 08:53:07,金門縣,金寧鄉,lintiffeny,著方法可以減少酒駕，如果車子發不動，就不能上路。
No.2,2017-11-17 09:37:10,新竹市,香山區,兒兒兒,
No.3,2017-11-17 15:31:19,臺中市,梧棲區,童,
No.4,2017-11-17 15:51:40,臺北市,大安區,IVORY,
No.5,2017-11-17 20:18:21,桃園市,桃園區,東,
No.6,2017-11-18 11:25:28,高雄市,三民區,郭,非常好的想法，吹完才能開車
No.7,2017-11-18 22:32:07,高雄市,楠梓區,吳彥緯,
No.8,2017-11-18 23:18:02,臺南市,麻豆區,wenqi,
No.9,2017-11-19 17:49:28,臺南市,大內區,good idea,保證守法用路人的生命安全~
No.10,2017-11-19 22:16:14,新北市,新莊區,erica,
No.11,2017-11-19 23:46:17,新北市,三峽區,Dolly,
No.12,2017-11-20 00:07:49,屏東縣,車城鄉,藍想,
No.13,2017-11-20 00:29:47,高雄市,前鎮區,沒錯,
No.14,2017-11-20 02:04:15,臺南市,新營區,神奇雞雞,
No.15,2017-11-20 17:25:58,新北市,新莊區,羅傑,好想法
No.16,2017-11-20 20:17:54,新北市,土城區,士元,
No.17,2017-11-25 22:40:35,高雄市,前鎮區,草爺,
No.18,2017-11-26 18:30:24,新北市,三重區,Vagabond,
No.19,2017-11-30 10:22:09,臺北市,萬華區,smart,"酒駕者或拒酒測者吊銷駕照終身不得再靠照室一個選項。
若是不終身吊銷駕照:
酒駕或拒酒測者除沒入其當時交通運具進行銷毀或拍賣所得近國庫專款專用，若當事人在行開車或騎車，就強制在其運具上裝置上安裝酒測器(費用自理，當然需要政府檢測合格之酒測器，並定期接受檢驗)，使其楣次使用運具前都須先通過自行酒測回傳，再使用運具每隔30分鐘或一小時就必須在自行酒測值回傳。熄火後在重新使用運具就再重來酒測過程，
都通過才可繼續使用該運具，否則就終身不得在駕駛汽機車。並重罰500-1000萬新台幣。繳不起罰關就到監獄工作抵債。

不然被撞的家庭怎麼辦?"
No.20,2017-12-08 22:59:46,桃園市,中壢區,"阿信Kenji ",

