"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-01 06:23:05,新北市,汐止區,Cs,減少作秀，端正風氣
No.2,2017-08-01 10:31:25,屏東縣,鹽埔鄉,釋真戒,
No.3,2017-08-01 11:14:11,臺南市,安南區,心雨,希望這個政策能盡快成立
No.4,2017-08-01 13:47:52,屏東縣,內埔鄉,toshiko,
No.5,2017-08-01 15:14:41,臺中市,豐原區,Eddie,
No.6,2017-08-01 16:08:36,新竹縣,湖口鄉,狼飄,"最好設立一個遊戲規則
至少要有一條限制線~~超過這條線者~~觸犯一次罰多少錢
到第幾次後就剝奪立法委員資格

或者
可以有互鬥條約
直接到某個拳擊場地~~兩個人互打~~當然觀眾要收門票~~增加國庫收入"
No.7,2017-08-01 16:32:55,新北市,淡水區,永臵,
No.8,2017-08-01 18:53:46,臺中市,北屯區,yumaker,
No.9,2017-08-02 01:51:21,新北市,板橋區,秋草,
No.10,2017-08-02 08:01:25,苗栗縣,造橋鄉,阿一,
No.11,2017-08-02 10:19:17,桃園市,八德區,果子狸,法院地方不需要有作秀成分!如果大家都是為了上電視才做秀那法院根本就是電視台!
No.12,2017-08-02 10:49:32,桃園市,桃園區,Edea,
No.13,2017-08-02 11:55:44,新北市,土城區,"moonlike87 ",
