"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-12 12:05:16,新北市,板橋區,zoeyshan,"我們都應該尊重並且真正的去愛護自己所生活的環境
我們總是習慣羨慕別人 卻不願意真心去向他人學習改善
總是覺得反正有別人在做就好 而自己永遠停滯
我們的一個動作 都是在決定未來人的生活"
No.2,2017-09-12 12:34:29,桃園市,蘆竹區,Deff,
No.3,2017-09-12 12:54:30,新北市,蘆洲區,larry,
No.4,2017-09-14 20:34:11,桃園市,龍潭區,Yuchi,
No.5,2017-09-15 21:28:33,新竹縣,關西鎮,ziople6251,
No.6,2017-10-11 00:15:54,高雄市,岡山區,阿賢,贊成
No.7,2017-10-22 18:05:55,高雄市,三民區,stupid,
No.8,2017-10-24 22:28:26,屏東縣,萬巒鄉,魯國國相,
No.9,2017-10-28 15:01:40,新北市,三重區,Vagabond,
No.10,2017-11-03 20:38:05,桃園市,桃園區,美格,夜深了就會發現路上蟑螂到處爬，或者老鼠明目張膽逛大街，改善生活環境，你我都有責任。
No.11,2017-11-03 23:53:11,桃園市,中壢區,"Kenji ",
