"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-09 10:58:59,基隆市,安樂區,RT,
No.2,2017-11-09 11:32:46,桃園市,中壢區,蟀鍋,
No.3,2017-11-09 11:39:36,新北市,五股區,jack,
No.4,2017-11-09 14:31:49,高雄市,大寮區,Tim,本來就該立法禁止，能取得雙重國籍的人政經地位肯定很高，做不法的事情肯定也機率也非常高，需要立法制衡，司法權確立歸屬。
No.5,2017-11-09 15:43:03,臺中市,沙鹿區,Yellow妙,
No.6,2017-11-09 21:02:29,新北市,土城區,怪怪,"中華民國兩岸人民關係條例都有規定，若是取得對岸國籍，本國國籍則會喪失，該立法之目的本是為維護我國之國家安全以及維護我國全體人民之權益，然取得其他國家之國籍難道就不會影響我國之權益嗎？答案是會，就本國許多法律乃承自德國或日本，然這兩國基本上乃採取即為""禁止雙重國籍""，故我國應當效仿，以免有心人士侵犯我國至高無上的主權！"
No.7,2017-11-09 21:41:39,臺北市,萬華區,Ivy,
No.8,2017-11-09 21:45:48,新北市,石門區,健健,支持，對商人.老將.飛官.公務員很嚴又絕不讓步又絕不寬容
No.9,2017-11-09 23:03:02,彰化縣,秀水鄉,一秒,單一國籍這是絕對必要的...只有這樣才能維持國家安全!
No.10,2017-11-10 03:48:25,嘉義縣,大埔鄉,支持,
No.11,2017-11-10 08:23:12,宜蘭縣,羅東鎮,您好,"應該嚴禁雙重國籍者

參選總統等等，國家要務

以免掏空國庫與出賣國家機密

像某位前總統（真令人堪憂）

確定他不會賣國?"
No.12,2017-11-10 12:05:48,高雄市,楠梓區,想一想,
No.13,2017-11-10 15:41:14,臺北市,大安區,AXZ,
No.14,2017-11-10 17:15:41,臺北市,內湖區,Nicole Huang,
No.15,2017-11-10 23:58:05,高雄市,鹽埕區,Vincent,
No.16,2017-11-11 00:35:31,臺北市,萬華區,Catherine,
