"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-08 12:01:19,新北市,永和區,saka,
No.2,2017-08-08 16:42:22,彰化縣,彰化市,菜市仔,避免法官不敢判死刑只判無期徒刑可假釋，假釋後又到處犯案。
No.3,2017-08-08 20:12:04,桃園市,平鎮區,如如,
No.4,2017-08-08 23:16:03,新北市,新莊區,Bingo,
No.5,2017-08-08 23:29:18,高雄市,燕巢區,阿翔,
No.6,2017-08-09 01:29:51,南投縣,埔里鎮,奉先,
No.7,2017-08-09 09:30:27,新北市,永和區,Parker,
No.8,2017-08-09 11:53:03,桃園市,中壢區,joel,
No.9,2017-08-09 19:40:51,新北市,林口區,xy,
No.10,2017-08-09 21:43:14,屏東縣,琉球鄉,綸爸,
No.11,2017-08-09 21:59:39,新北市,三重區,"Tonychen62 ",
No.12,2017-08-10 08:21:20,新北市,淡水區,good,
No.13,2017-08-10 08:31:07,臺北市,中正區,alanpaul,
No.14,2017-08-10 09:25:21,新北市,永和區,Lionel,
No.15,2017-08-10 09:35:46,桃園市,中壢區,蝦蝦,
No.16,2017-08-10 09:38:36,花蓮縣,花蓮市,殺人該死,
No.17,2017-08-10 11:51:43,新北市,永和區,詹姆士,
No.18,2017-08-10 13:49:40,臺中市,南屯區,Ethan,
No.19,2017-08-10 14:22:30,臺北市,南港區,阿雷,
No.20,2017-08-10 15:16:19,臺中市,中區,Homura Akemi,
