"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-30 17:19:48,臺北市,北投區,Will,實現男女平權
No.2,2017-03-30 19:00:41,新竹縣,尖石鄉,wei hong hong,
No.3,2017-04-01 01:31:54,臺北市,南港區,liau,
No.4,2017-04-01 01:50:15,臺北市,南港區,鱔魚,
No.5,2017-04-02 13:28:59,臺東縣,臺東市,陳一尾,
No.6,2017-04-02 16:30:17,臺中市,南屯區,WhyQQ,
No.7,2017-04-02 16:55:55,苗栗縣,銅鑼鄉,魚雷,
No.8,2017-04-02 19:08:45,新竹市,東區,Feminist,義務無分性別
No.9,2017-04-03 16:36:02,新北市,中和區,gjh4028,
No.10,2017-04-04 23:43:15,臺北市,南港區,Apin,
No.11,2017-04-05 14:46:58,臺中市,東區,冰冷愛連娜,基於兩性平等原則，我認為這是必須也是應該的，且台灣國防處境艱困，無論男女國民都應履行保衛國家的義務。
No.12,2017-04-05 16:16:57,屏東縣,恆春鎮,阿忠,落實兩性平等
No.13,2017-04-06 20:35:05,彰化縣,鹿港鎮,黃莫言,
No.14,2017-04-06 21:21:33,新竹市,北區,建禾,
No.15,2017-04-07 08:57:18,彰化縣,北斗鎮,呵呵,"並非仇女或是不甘心甚麼的
只是很單純的在相同身體素質的情況下男生做得到女生就做得到
都是一般役體位 男生當兵 女生當兵
都是替代役體位 男生替代役 女生替代役"
No.16,2017-04-07 23:51:44,臺南市,西港區,IzumiKagami,
No.17,2017-04-08 20:55:56,臺南市,北區,塵逸凡,"女生當不了兵，至少也能服替代役吧
現在不是在提議六歲以下交給國家扶養？
還不如讓女生去服幼教役，是不是省錢又解決男生平等的問題？

不是每個男生一當兵就會打仗的，訓練女生帶孩子很合理吧"
No.18,2017-04-09 00:35:52,嘉義縣,水上鄉,林怡萱,平等不是只會說說而已
No.19,2017-04-09 11:54:54,嘉義市,東區,Leo Chen,
No.20,2017-04-09 13:42:26,花蓮縣,玉里鎮,Dyf,
No.21,2017-04-12 10:25:45,新北市,樹林區,台灣948794狂讚士,
No.22,2017-04-12 15:06:36,桃園市,中壢區,叭啦蹦,
No.23,2017-04-12 15:26:59,臺中市,西屯區,太郎,
No.24,2017-04-12 15:28:17,高雄市,左營區,盧西安,"一直講求男女平等 

那就該不管男性女性都應該要服兵役

不能夠因為女生要懷胎10個月所以不用當兵這種爛理由

如果真的每個都懷胎10個月台灣生育率會這麼低?

然後不勝又只會怪男生錢賺得不夠不敢放心的生

把事情全部都推給男生這才不是真正的平等吧"
No.25,2017-04-12 15:28:38,臺北市,內湖區,劉XX,
No.26,2017-04-12 15:37:58,臺北市,文山區,123,
No.27,2017-04-12 15:38:06,新北市,板橋區,At Wei,
No.28,2017-04-12 15:47:36,臺南市,永康區,舊日支配者,貫徹男女平等，不要說什麼女生要生育，台灣生育率超低好嗎？
No.29,2017-04-12 15:49:29,嘉義縣,朴子市,孩孑,希望能仔細審視男女所應該有的平等與差別
No.30,2017-04-12 15:58:30,苗栗縣,卓蘭鎮,9A91,"一個身體沒殘缺的人如果不盡義務
那他又有甚麼資格享受權力"
No.31,2017-04-12 16:02:02,新北市,蘆洲區,黑暗喵喵,
No.32,2017-04-12 16:06:34,臺中市,梧棲區,陳,
No.33,2017-04-12 16:08:44,高雄市,大寮區,詩乃控,
No.34,2017-04-12 16:10:07,高雄市,美濃區,阿堀,支持其理念，自身認為兩性平等不該再只是說說，該讓這提案通過才是。
No.35,2017-04-12 16:15:07,新北市,中和區,沒帶雨傘,
No.36,2017-04-12 16:15:08,高雄市,鼓山區,野,ㄇ有綽辣
No.37,2017-04-12 16:20:23,新北市,新莊區,瑪拉頓公主的臭屁精華,
No.38,2017-04-12 16:29:08,臺中市,神岡區,阿凱,保家衛國，人人有責
No.39,2017-04-12 16:31:17,高雄市,左營區,j22054022,"平權,孕婦可不必"
No.40,2017-04-12 16:35:11,臺南市,歸仁區,盧廣彥,
No.41,2017-04-12 16:36:17,桃園市,桃園區,場外匿名者,
No.42,2017-04-12 16:36:29,臺中市,外埔區,KuroNeKo,男女平等
No.43,2017-04-12 16:41:30,新北市,淡水區,矮劣傲,在這種危險的場合 全民皆兵
No.44,2017-04-12 16:49:03,高雄市,鳳山區,龍神胤,QQ~
No.45,2017-04-12 16:54:02,高雄市,三民區,高雄李敏鎬,"我國長期遭受對岸恐嚇
我覺得男女都要有責任當兵"
No.46,2017-04-12 16:57:27,臺北市,信義區,星爆氣流斬,覺得的確應該要平等，許多國家也這麼做了
No.47,2017-04-12 16:57:37,臺南市,永康區,國立場外廢文研究所教授加博士先生,落實真正的男女平等
No.48,2017-04-12 16:58:23,臺北市,士林區,Iceice,支持!
No.49,2017-04-12 16:59:22,宜蘭縣,蘇澳鎮,張子因,男女平等，同工同酬，不準因性別選擇是否錄取，生理假，產假，育嬰假，不能說男性比女性優秀，這些都可以了，如果不準義務役，那不就是女性自助餐?
No.50,2017-04-12 16:59:41,新北市,林口區,PT,孕婦以外皆要當
No.51,2017-04-12 16:59:45,新北市,板橋區,ㄏㄏㄌㄌ,
No.52,2017-04-12 17:00:06,新北市,淡水區,相信,
No.53,2017-04-12 17:01:03,臺南市,北區,Fasrener,"台灣女性過太爽
公主太多
為秉持性別的公正性
此提案應通過"
No.54,2017-04-12 17:01:14,基隆市,七堵區,Siggy,
No.55,2017-04-12 17:01:35,桃園市,蘆竹區,MADAO,
No.56,2017-04-12 17:03:19,新北市,板橋區,尾,比照以色列
No.57,2017-04-12 17:03:29,嘉義縣,水上鄉,羊,平等
No.58,2017-04-12 17:03:44,新北市,鶯歌區,黯然消魂飯,性別平等平權
No.59,2017-04-12 17:05:31,臺中市,大雅區,Jack,本來就該當了，不然開戰時只是花瓶，再加上台灣人口不多，開戰時必須全民皆兵
No.60,2017-04-12 17:05:44,新北市,永和區,心動動,支持兩性真平權，拒絕女權自助餐，有能者皆應為國家貢獻心力。
No.61,2017-04-12 17:06:23,臺北市,大同區,Alan,"台灣女性過太爽
公主太多
為秉持性別的公正性
此提案應通過"
No.62,2017-04-12 17:08:13,新北市,板橋區,北臉,"為落實性別平權，我認為不應有已性別作為門檻的人民義務。
唯有跨越性別的高牆才能真正落實性別平等"
No.63,2017-04-12 17:09:09,臺北市,大安區,Kent,落實男女平權，共同抵抗外侮！
No.64,2017-04-12 17:10:02,新竹市,北區,黑導,男人若得在軍中學習，我認為女人也是一樣的，一切講求公平，才是民主國家的根本。
No.65,2017-04-12 17:10:40,新北市,五股區,阿宏,應比照以色列全民皆兵，女性也有能力保家衛國
No.66,2017-04-12 17:11:43,花蓮縣,花蓮市,Jedi,女權主義讚!
No.67,2017-04-12 17:14:00,臺中市,北屯區,好,
No.68,2017-04-12 17:14:22,新北市,永和區,大朋友,"當兵固然辛苦,但在現今男女平權的時代,不應只有男性該服兵役。"
No.69,2017-04-12 17:15:04,新北市,瑞芳區,VJoker,支持兩性平權喔~~~
No.70,2017-04-12 17:15:12,高雄市,鹽埕區,UM,女權平等~
No.71,2017-04-12 17:18:51,臺中市,太平區,野,支持兩性平權，亞洲第一實施女性當兵國家，看齊以色列
No.72,2017-04-12 17:19:06,桃園市,中壢區,mraz,一年對一個年輕人而言是很長的時間，然而男生在服兵役的時候，女生卻可以繼續享受那一年。這樣就是兩性平權嗎？我倒覺得是性別歧視。
No.73,2017-04-12 17:20:05,新竹市,東區,蘇子維,啊不然哩
No.74,2017-04-12 17:20:21,高雄市,仁武區,世紀反轉,希望落實真正的男女平等
No.75,2017-04-12 17:20:23,新竹市,東區,30c,兩性平等
No.76,2017-04-12 17:20:24,新北市,泰山區,阿肯,為以達性平觀點，可將女性列入兵役類別內，來補充國家兵力，能以類似替代役或其他特殊屬性的役種服役，服役長度有待討論
No.77,2017-04-12 17:21:54,雲林縣,斗六市,小鄭,女性口口聲聲說男女平等，為啥提到當兵就要龜縮，還說不然你們男生來生小孩，遇到任何事就再那說女士優先，人家女生ㄟ，把男生當次等公民喔
