"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-08 08:26:39,臺南市,東區,Derjanq,
No.2,2018-03-08 17:56:12,高雄市,三民區,alan,
No.3,2018-03-08 19:49:17,新北市,汐止區,小李,
No.4,2018-03-09 10:14:06,彰化縣,彰化市,核統,
No.5,2018-03-09 10:58:02,花蓮縣,新城鄉,EATON,
No.6,2018-03-09 11:26:22,臺南市,永康區,阿齡,
No.7,2018-03-09 13:49:02,臺中市,梧棲區,我要附議,
No.8,2018-03-09 19:51:34,桃園市,龍潭區,cyc5771,
No.9,2018-03-09 20:34:56,新竹市,東區,"yolosiikoo ",杜絕政商勾結
No.10,2018-03-10 21:24:30,臺中市,豐原區,配套要對,
No.11,2018-03-11 00:44:00,新北市,土城區,OUHH,
No.12,2018-03-12 01:16:21,高雄市,楠梓區,zephoenixro,
No.13,2018-03-12 04:00:35,臺中市,西區,想好好吃飯,
No.14,2018-03-12 08:38:39,臺中市,南屯區,馬克,自行充電可以方便使用者使用，也會因自己的電池，而愛惜使用，減少損壞率．也能因便民此點，提升大眾對電動車的接受度．
No.15,2018-03-12 09:48:50,新北市,三重區,TimChou,
No.16,2018-03-12 12:40:54,高雄市,大樹區,QQ,
No.17,2018-03-12 19:56:44,新北市,三重區,playgamenow,
No.18,2018-03-13 09:12:03,屏東縣,萬丹鄉,柚235,可以兩軌並行，自宅充電和充電專站，自宅充電只須購買專用充電器（節省來回專站的時間、電量），以防電池損毀或他人使用
No.19,2018-03-13 10:30:20,桃園市,桃園區,Albert Lai,支持電動車在家充電！！！
No.20,2018-03-13 12:52:05,臺中市,西區,jonesAAA,再進一步建議，統一各家廠商的充電設備。就像 USB充電插座一樣。以前各家手機的手機充電都不一樣(有時同一家牌子也不能拿來利用) 只為了多賺 100-200元的手機線錢，事實證明只是阻礙了產品研發發展進程，毫無意義。
No.21,2018-03-13 16:57:18,臺中市,北屯區,嗯嗯,
No.22,2018-03-16 17:38:01,桃園市,桃園區,gt,
No.23,2018-03-16 21:14:47,新北市,汐止區,John,
No.24,2018-03-17 16:47:34,新北市,新店區,李佳,
No.25,2018-03-20 16:44:55,屏東縣,恆春鎮,Jason,
No.26,2018-03-21 05:28:24,臺北市,信義區,皇龍,
No.27,2018-03-23 17:54:25,新北市,三重區,VV,
No.28,2018-03-23 19:54:48,臺中市,北區,Daniel,在家充電才方便
No.29,2018-03-25 21:55:29,臺北市,松山區,Lai,充電設施非高危險設施，也非高精密設備，開放一般充電能讓使用者更方便，亦無圖利廠商之嫌。
No.30,2018-03-27 12:10:20,臺北市,大安區,Turtlefish,必須的，提升電動車自由度有助電動車發展
No.31,2018-03-29 10:21:15,新竹市,北區,A,

