"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-15 13:47:54,臺中市,北屯區,Siang,贊成！台灣法律非常不完善！有待全民一起監督！不要讓法律只會保護懂法律的人！
No.2,2017-10-15 20:26:32,高雄市,岡山區,阿賢,贊成
No.3,2017-10-17 14:14:14,臺南市,永康區,迷路,臺灣法治教育真的很薄弱，民眾普遍沒觀念，只想利用免費法律資源，造成專業價值低落！！
No.4,2017-10-18 00:10:08,新北市,淡水區,mazda,
No.5,2017-10-18 11:17:40,桃園市,中壢區,mozom7,
No.6,2017-10-19 01:14:37,新北市,三重區,拉可,
No.7,2017-10-19 18:56:27,臺北市,北投區,eric,
No.8,2017-10-19 22:10:45,臺中市,豐原區,呵呵,
No.9,2017-10-19 22:17:05,桃園市,中壢區,Alien Yeh,
No.10,2017-10-19 23:28:10,臺中市,西區,wan,
No.11,2017-10-20 11:33:56,新北市,板橋區,阿整,
No.12,2017-10-20 19:38:10,臺南市,下營區,台南人,
No.13,2017-10-20 22:15:36,臺北市,內湖區,CE HSIA,
No.14,2017-10-22 01:35:06,臺北市,大安區,安安隊長,
No.15,2017-10-22 09:07:20,臺中市,后里區,Eleanor,
No.16,2017-10-22 13:00:01,桃園市,桃園區,Alex,
No.17,2017-10-22 16:39:04,高雄市,鼓山區,奇奇,
No.18,2017-10-22 17:48:05,臺北市,萬華區,Leon,
No.19,2017-10-22 17:53:13,臺北市,大安區,ochukimo,
No.20,2017-10-22 17:56:41,高雄市,三民區,stupid,
No.21,2017-10-22 18:02:43,臺北市,南港區,kukuku,"除了增加法制教育還應該增加理財，心理課程。
省得出社會一堆人不知法就犯法；老是被詐騙；一天到晚情殺家暴，恐怖情人到處是，還有殺自己親身骨肉的（此處不特別針對最近新聞，異性戀情殺家暴行之有年不勝枚舉，顯示這是長久的社會問題）；動不動就打人吵架。
顯示大家的情緒管理都有問題，又不願意看醫生。"
No.22,2017-10-22 19:52:49,臺北市,內湖區,Trent,
No.23,2017-10-22 23:40:05,高雄市,鼓山區,維珩,
No.24,2017-10-23 11:01:20,新北市,中和區,大衛何,
No.25,2017-10-23 15:49:43,新竹市,香山區,兒兒兒,
No.26,2017-10-23 18:06:56,屏東縣,萬巒鄉,魯國國相,
No.27,2017-10-23 18:53:10,宜蘭縣,頭城鎮,tsenmo,
No.28,2017-10-23 19:46:42,臺中市,北屯區,睿睿,
No.29,2017-10-23 21:33:04,彰化縣,彰化市,kk,
No.30,2017-10-24 11:21:50,彰化縣,彰化市,嘟嘟,
No.31,2017-10-24 14:48:25,高雄市,鳳山區,Sua-gōo-lông,
No.32,2017-10-24 22:55:20,新北市,淡水區,zz,
No.33,2017-10-25 00:07:51,臺北市,萬華區,竹子,
No.34,2017-10-25 04:39:40,臺北市,文山區,Linda,樹德家商有法律常識和民法課，奠定了守法的基礎教育觀念與觀念，值得普遍效法。
No.35,2017-10-25 13:17:54,桃園市,桃園區,JERRY,
