"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-10 14:24:19,臺中市,中區,王子,"正因為塞了，所以才不應該收費。現在會塞車，也並非是因為收費問題。
就好比手機通話訊號一直不好，你還願意付原有的月租費？然後難道你會覺得月租費再低，不就更多人打/更多人辦手機，通話品質更不好？"
No.2,2018-04-11 09:14:40,苗栗縣,三義鄉,Windlesser,
No.3,2018-04-11 16:45:38,新竹縣,竹北市,Ana,通行費減半搭配高速公路疏流併行方案，使高速公路通行用戶得到最大效益
No.4,2018-04-11 23:04:13,新北市,蘆洲區,YMY,
No.5,2018-04-11 23:18:57,高雄市,左營區,小老百姓,
No.6,2018-04-12 17:00:19,臺南市,新營區,阿仁,例假日都沒有優惠了，那麼塞車應該要免費才對，當初國道使用ETC的目的就是要達到不塞車快點到的目的，既然達不到就不該收費。
No.7,2018-04-12 17:17:51,苗栗縣,南庄鄉,安格,
No.8,2018-04-13 10:57:36,臺北市,大安區,Charming,
No.9,2018-04-16 12:04:45,高雄市,楠梓區,zephoenixro,
No.10,2018-04-21 15:58:12,新北市,新店區,Brian,
No.11,2018-04-22 13:02:07,臺北市,大安區,CC,我們是為了高速，才使用高速公路，既然付費，就應該有相對的品質，時速過份低於最低限速以下即應該半價收費，不然跟走省道有無差別？
No.12,2018-04-28 23:21:19,桃園市,蘆竹區,秉利,
No.13,2018-04-29 07:56:59,屏東縣,屏東市,Jas yang,
No.14,2018-04-29 08:43:26,彰化縣,田中鎮,雅櫻,
No.15,2018-04-29 12:58:21,新竹市,香山區,jlchu,"公部門本應服務民眾，而非財團，塞車時耗費的社會成本，遠高於收到的通行費。
連續假期可提前一天及延後一天免收通行費（自小客車），提高對民眾的誘因。
ETC的大數據早可提供應變對策，但基於服務財團的思維，公部門遲無作為，
一塞車只會怪罪車禍多所造成，本末倒置推拖之辭。"
No.16,2018-04-29 14:54:36,新竹市,北區,阿宗,當然要有優惠，不然還能稱為高速公路嗎
No.17,2018-04-29 15:51:48,嘉義縣,大林鎮,文奇,塞車是政府失信無法，不只應減半，根本應該免費的，何況，建造高速公路的費用早已超收，這是政府不敢面對而已
No.18,2018-05-06 21:07:41,臺北市,文山區,Eric,

