"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-01 00:09:26,新北市,土城區,鴻,
No.2,2017-12-01 03:54:03,臺中市,大里區,拳王,公平啊～
No.3,2017-12-01 07:07:27,高雄市,茄萣區,俞秉宏,
No.4,2017-12-01 07:19:20,嘉義縣,民雄鄉,Night,國家過度重視人權，法官認為人可教化，卻不知受刑人在裡面多麼囂張跋扈，嗆主管的，感冒肚子痛甚至故意吞食異物送急診的，比比皆是
No.5,2017-12-01 07:26:54,臺南市,山上區,小俊兒,
No.6,2017-12-01 07:30:03,嘉義縣,太保市,溫皇,支持
No.7,2017-12-01 07:39:50,屏東縣,屏東市,歐歐,
No.8,2017-12-01 07:56:19,雲林縣,北港鎮,藏玉,
No.9,2017-12-01 08:04:16,臺中市,北屯區,Joy,支持應自費健保費，不然就太沒天理了
No.10,2017-12-01 08:09:20,雲林縣,北港鎮,Ricj,
No.11,2017-12-01 08:11:09,臺南市,南區,老實人,
No.12,2017-12-01 08:35:28,臺東縣,臺東市,莫妍妤,
No.13,2017-12-01 08:36:09,高雄市,大社區,顧同學,使用者付費
No.14,2017-12-01 08:51:46,臺南市,南區,修羅,受刑人健保免費的福利實在是對不起那些奉公守法每天努力生活的人了，健保費用使用者付費。
No.15,2017-12-01 08:59:57,高雄市,鳳山區,珍珠,非常認同使用者付費原則。
No.16,2017-12-01 09:10:00,臺東縣,臺東市,Sunanna134,
No.17,2017-12-01 09:15:14,屏東縣,屏東市,"阿Ken ",受刑人並非全因為家境不好看入獄服刑，健保立意雖然良善，但是一般民眾就算沒工作一樣要繳納健保費，因家境清苦無法繳納者，也應該利用專案方式管理，而非一體適用不需繳納健保費而享有健保。造成醫療資源和人力浪費及戒護外醫時的危險及風險。
No.18,2017-12-01 09:16:48,高雄市,鳳山區,小宏,如果受刑人的健保費 可以由國家支付 那麼弱勢族群 又或者遊民是否應比照辦理？ 常看到新聞報導有弱勢民眾 為了節省搭公車的費用（不過10~20元）寧可走1~2小時的路 去醫院看診！反觀監內服刑的受刑人 除了健保費由國家支出以外 還常常動不動就外醫 搭的還不是計程車 還是用單位的救護車載出去 連計程車錢都省了 相比之下叫這些弱勢團體以及貧苦民眾情何以堪 守法的比那些不守法的還沒有人權
No.19,2017-12-01 09:26:13,宜蘭縣,宜蘭市,garykang,
No.20,2017-12-01 09:28:12,臺東縣,臺東市,kiki,
No.21,2017-12-01 09:28:44,新北市,中和區,小翁,支持受刑人自繳健保費，以維公平正義，這已不是人權不人權的問題，而是資源的分配問題。試舉一例，政府並無幫助遊名繳納健保費；然為何犯罪進來的受刑人，卻是由政府繳納呢？豈不是鼓勵犯罪嗎？
No.22,2017-12-01 09:28:55,新北市,鶯歌區,邢武,受刑人人權高過頭了，讓他們覺得什麼都是應該的，這對台灣社會的公平正義而言就是個笑話。
No.23,2017-12-01 09:33:08,高雄市,左營區,雷克霖,
No.24,2017-12-01 09:33:46,臺南市,永康區,豪豪,可限縮使用範圍，不要痣瘡、手汗、小手術不是急迫危害都來外醫住院，監所人力無應付目前勤務
