"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-07 04:19:32,臺北市,中正區,Jerry,在美國如果慢車在市區佔領內車道警察也回來驅離，避免道路雍塞，依該校法
No.2,2017-05-08 00:13:43,新竹縣,竹東鎮,劉嘉,"龜速車不應佔用內車道,易造成壅塞"
No.3,2017-05-08 13:31:43,新北市,中和區,上路要用腦,
No.4,2017-05-08 19:59:05,屏東縣,東港鎮,曙光,
No.5,2017-05-09 00:29:41,高雄市,大樹區,Iver,
No.6,2017-05-11 23:07:56,臺中市,后里區,Bill,
No.7,2017-05-12 00:13:41,新北市,新莊區,k,
No.8,2017-05-12 11:04:20,臺北市,大安區,偉人青,
No.9,2017-05-13 19:01:19,桃園市,蘆竹區,KEVIN,
No.10,2017-05-13 19:09:37,桃園市,龜山區,SY,
No.11,2017-05-13 22:13:13,臺北市,內湖區,SYT,
No.12,2017-05-17 16:42:29,臺中市,沙鹿區,豪哥,
