"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-09 22:06:07,嘉義市,東區,深藍,
No.2,2017-10-11 08:05:37,苗栗縣,通霄鎮,嗨,
No.3,2017-10-13 14:55:53,臺南市,安南區,威廷,支持，國防很重要，尤其中共垮臺前
No.4,2017-10-17 21:31:19,桃園市,大園區,Pinhan,
No.5,2017-10-19 18:37:59,雲林縣,斗六市,大麻,蚊子場真的太多了
No.6,2017-10-19 21:54:30,新北市,樹林區,尼古丁,
No.7,2017-10-20 17:38:28,桃園市,蘆竹區,PY,
No.8,2017-10-20 20:50:06,臺中市,豐原區,呵呵,
No.9,2017-10-20 22:02:47,臺北市,中正區,藤和艾利歐,贊成，台灣的機場真的要整併一下，像南竿北竿可以併成一座機場，恆春機場還給軍方算了。
No.10,2017-10-20 22:25:10,新北市,板橋區,goodyes,
No.11,2017-10-21 15:28:42,高雄市,左營區,Second-tone Nong,
No.12,2017-10-22 10:17:44,桃園市,桃園區,洨鼻孔,
No.13,2017-10-22 20:18:37,臺中市,大里區,看蝦米,
No.14,2017-10-23 00:28:12,高雄市,彌陀區,男人,
No.15,2017-10-23 20:48:23,臺中市,東區,Itw,
No.16,2017-10-23 21:44:02,屏東縣,萬巒鄉,魯國國相,
No.17,2017-10-24 09:13:19,高雄市,左營區,corsair,
No.18,2017-10-25 10:02:05,臺中市,潭子區,Chen,
No.19,2017-10-25 11:25:45,新北市,新店區,微風,與其花錢保養沒用的機場，不如改為軍用機場，增加我國軍事防備
No.20,2017-10-28 14:25:53,新北市,三重區,Vagabond,
No.21,2017-10-30 15:34:56,新竹市,北區,一同營造歡樂社會,
