"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-25 00:06:51,臺中市,潭子區,Hank,
No.2,2018-01-25 10:23:20,臺中市,大雅區,阿光,
No.3,2018-01-25 14:23:10,臺北市,士林區,bigsun937,
No.4,2018-01-25 15:15:54,高雄市,鳳山區,蔡菜,
No.5,2018-01-26 07:26:52,臺北市,中正區,小鍾,
No.6,2018-01-26 08:52:24,雲林縣,斗南鎮,慧,
No.7,2018-01-26 10:04:04,臺南市,七股區,宗,
No.8,2018-01-26 15:16:43,高雄市,大樹區,配套要對,
No.9,2018-01-26 21:53:07,新北市,板橋區,Sammy,
No.10,2018-01-27 14:01:18,臺北市,信義區,angelsky777,
No.11,2018-01-27 19:01:58,新竹市,北區,新竹人,
No.12,2018-01-28 15:37:43,新北市,新莊區,秋,
No.13,2018-01-29 11:40:22,高雄市,鳳山區,沛辰,
No.14,2018-01-29 15:44:51,新北市,板橋區,Miko,
No.15,2018-01-29 22:32:11,新竹市,東區,SU,
No.16,2018-01-30 13:41:35,基隆市,仁愛區,u_ujhj,
No.17,2018-01-30 19:50:29,彰化縣,二水鄉,夜語花兒,
No.18,2018-02-01 10:49:38,高雄市,楠梓區,hosplin,
No.19,2018-02-01 12:18:05,新北市,三重區,Vagabond,
No.20,2018-02-02 01:12:41,高雄市,前鎮區,樂,
No.21,2018-02-02 22:45:46,彰化縣,鹿港鎮,cc,
No.22,2018-02-06 12:00:35,高雄市,梓官區,koki,
No.23,2018-02-07 08:45:01,臺中市,南區,王,
No.24,2018-02-07 11:21:29,新北市,三重區,ul45p4,
No.25,2018-02-08 03:36:32,桃園市,平鎮區,錯了就要改,"正面，中央，清楚，佔比10%，統一格式，
不然很亂，也很難找..."
No.26,2018-02-10 14:58:02,臺北市,北投區,LIN ROBERT,

