"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-12 22:42:59,臺中市,南屯區,皓皓,
No.2,2018-01-15 09:15:34,基隆市,安樂區,Anseus,
No.3,2018-01-15 21:40:46,新竹縣,橫山鄉,龍昀承,我支持18歲以下 滿16歲可以考駕照
No.4,2018-01-15 21:45:50,新竹縣,湖口鄉,菲力牛排,
No.5,2018-01-15 22:00:39,新竹縣,竹北市,boss,我支持滿18歲那年考機車駕照
No.6,2018-01-16 12:30:15,桃園市,八德區,Jason,
No.7,2018-01-20 00:56:38,臺中市,北區,asd55688821,
No.8,2018-01-20 15:01:15,新北市,三重區,Vagabond,
No.9,2018-01-20 19:48:08,新北市,新店區,自行車王子,
No.10,2018-01-24 15:23:19,臺北市,內湖區,salomon,
No.11,2018-01-25 11:26:31,高雄市,鳳山區,柚子,提早學會騎車不代表一定會飆車
No.12,2018-02-15 16:25:11,高雄市,小港區,小芸芸,
No.13,2018-02-23 20:01:57,新北市,三重區,Skye Tsai,同意
No.14,2018-03-03 18:27:00,臺中市,南屯區,蛋黃酥,

