"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-04 00:09:32,新竹縣,竹北市,CCLI,
No.2,2018-01-04 11:34:38,臺南市,新營區,支持,很支持但是嚴重影響車廠利益，政治人是財團養的，政府會漠視
No.3,2018-01-05 17:00:38,臺南市,歸仁區,WINNIE,台灣不能引進販賣太可惜了，希望將法規面改善，使生活更好。
No.4,2018-01-06 22:06:24,臺南市,中西區,Ken,
No.5,2018-01-07 04:42:25,新北市,板橋區,興子爵,
No.6,2018-01-07 16:18:04,屏東縣,麟洛鄉,易叡,
No.7,2018-01-07 21:56:59,高雄市,三民區,chunche,
No.8,2018-01-07 22:43:48,彰化縣,員林鎮,Wing,
No.9,2018-01-08 06:46:52,雲林縣,大埤鄉,喵恩,
No.10,2018-01-12 11:24:24,新竹市,東區,alan,
No.11,2018-01-18 13:55:41,新北市,板橋區,lineage807,"在台灣根本大推阿，可以造福多少阿公阿嬤父母帶小孩上下學也不怕下雨天麻煩了，且不像汽車似的佔空間
如果可以有電動式的更好，像日本、...國外那樣方便阿"
No.12,2018-01-25 22:56:05,新竹市,東區,大牛,

