"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-15 02:20:16,新北市,新店區,apoway,政府不應該自己用很低薪資來雇用約聘人員，這樣如何提升人民生活水準。再者，很多約聘做的工作內容跟正職的一樣，同工卻不同酬，這樣並不公平與合理。
No.2,2018-05-15 08:21:48,臺南市,安南區,同意者,
No.3,2018-05-15 11:44:41,基隆市,中山區,KiritoChen,
No.4,2018-05-15 14:42:27,臺中市,西區,Laiwanping,
No.5,2018-05-16 07:59:21,基隆市,中山區,基隆熱巴,
No.6,2018-05-16 17:36:02,屏東縣,萬丹鄉,屏東彭于晏,
No.7,2018-05-16 20:09:23,新北市,板橋區,Andy,
No.8,2018-05-18 08:45:47,新北市,板橋區,Jenny,政府機構適用勞基法人員應比照辦理起薪3萬，應包含所有非編人員。
No.9,2018-05-18 09:49:10,桃園市,八德區,jessica,

