"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-04 16:19:55,新北市,淡水區,蔡胖胖,
No.2,2018-01-04 16:54:23,臺北市,文山區,aaaa,
No.3,2018-01-06 21:59:26,新北市,泰山區,支持你,應強迫詐騙犯服勞役、生產盈餘達詐騙金額後才可申請假釋，並且獄中所有食衣住行育樂等開銷全由犯人自行支出，國庫不得出錢養敗類。
No.4,2018-01-06 22:08:05,臺南市,中西區,Ken,
No.5,2018-01-07 14:53:07,雲林縣,元長鄉,坤達,
No.6,2018-01-07 15:35:21,桃園市,蘆竹區,金奇,
No.7,2018-01-08 09:15:40,高雄市,楠梓區,zephoenixro,
No.8,2018-01-08 10:53:56,桃園市,龜山區,jessie,
No.9,2018-01-09 11:43:53,新北市,三峽區,Jack,
No.10,2018-01-12 23:58:02,臺中市,潭子區,Hank,
No.11,2018-01-14 08:29:02,桃園市,中壢區,lianhao,支持，該死，判太輕出來繼續騙比上班好過
No.12,2018-01-15 09:03:58,桃園市,中壢區,fish,
No.13,2018-01-15 14:44:05,新北市,新莊區,kizema104,
No.14,2018-01-15 22:04:52,新北市,新店區,小柴,
No.15,2018-01-17 13:46:14,桃園市,桃園區,CC,
No.16,2018-01-18 10:42:31,臺中市,東區,Edgar,
No.17,2018-01-24 12:09:04,高雄市,鳳山區,香草,
No.18,2018-01-26 17:48:08,新北市,中和區,Tom,

