"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-01 14:50:52,臺北市,北投區,Safer,
No.2,2017-04-03 10:45:46,臺北市,南港區,Brian,飼養危險動物如果逃脫，容易造成其他人的危險，高加索犬、藏獒等危險動物咬傷路人事件時有所聞，將近十年前還發生新店的羊隻遭到不知名的猛獸獵殺的新聞
No.3,2017-04-03 18:11:34,桃園市,平鎮區,Leo,避免傷害人事件
No.4,2017-04-04 00:15:40,臺北市,內湖區,selena,"的確飼養危險寵物將有害於社會安全，
但哪些寵物是危險的就需要專家們的適當評估"
No.5,2017-04-04 05:28:23,新北市,板橋區,John,
No.6,2017-04-08 16:14:50,臺北市,文山區,jimmy,
No.7,2017-04-09 11:45:08,嘉義市,東區,Leo Chen,
No.8,2017-04-23 22:18:46,臺南市,南區,vicky,
No.9,2017-04-25 16:21:13,高雄市,三民區,Kent,
No.10,2017-04-25 23:19:50,臺中市,北區,Andy,
No.11,2017-04-29 21:19:35,高雄市,三民區,不知道,
No.12,2017-04-30 19:43:21,新竹縣,新豐鄉,Mr.S,"鱷魚,食人魚,鬣蜥,毒蛇,螞蟻,毒蛛,毒蠍,獒犬..."
