"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 18:54:17,雲林縣,北港鎮,阿順,就是有了替代役，才在那邊喊兵不夠用!!!
No.2,2017-12-08 19:25:09,新北市,汐止區,阿門,
No.3,2017-12-09 10:28:10,臺北市,北投區,wang,
No.4,2017-12-09 11:26:20,臺南市,中西區,vob,
No.5,2017-12-09 12:14:34,澎湖縣,馬公市,阿正,
No.6,2017-12-09 20:52:56,臺北市,北投區,LIN ROBERT,
No.7,2017-12-10 01:04:01,臺中市,太平區,建哥,
No.8,2017-12-11 09:16:55,新北市,永和區,D.C.,
No.9,2017-12-13 09:43:54,臺中市,南屯區,其人,"雖知這個提案不太受關注也難成案 但非常贊成廢除替代役!! 
這個國家的機關學校裡不需正值青壯年少的同胞來耗費青春時光,不如到軍隊或進入社會去磨練心性與挑戰人生!!這個畸形的制度應該廢除!!"
No.10,2017-12-13 21:12:14,桃園市,八德區,Jason,
No.11,2017-12-15 20:15:39,新竹縣,竹東鎮,Blue,
No.12,2017-12-23 09:50:39,新北市,土城區,橘子冰沙,
No.13,2017-12-25 12:21:24,臺中市,西屯區,seeker5023,同意
No.14,2017-12-25 18:44:07,臺中市,石岡區,Fe,
No.15,2018-01-07 00:26:30,彰化縣,二林鎮,Husker,
No.16,2018-01-22 22:24:58,新竹縣,竹東鎮,錢錢,役期越來越短，戰鬥能力的基本訓練的時間都不足，是如何要保家衛國？

