"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-21 01:39:51,雲林縣,斗六市,甘蔗青將軍,
No.2,2017-12-21 10:39:33,臺北市,內湖區,chiayi-chu,廢除稅務人員奬金制度
No.3,2017-12-21 11:03:46,臺北市,北投區,May,
No.4,2017-12-21 12:27:54,新北市,林口區,kuoyuan,
No.5,2017-12-21 16:57:35,新北市,土城區,惠,
No.6,2017-12-21 20:41:39,高雄市,楠梓區,Headcafd,
No.7,2017-12-21 21:24:59,臺南市,善化區,紅豬,支持減稅方案
No.8,2017-12-22 12:09:09,臺中市,南屯區,ruceea,
No.9,2017-12-23 23:32:35,臺中市,清水區,阿發,
No.10,2017-12-24 23:40:35,高雄市,岡山區,阿賢,贊成
No.11,2017-12-25 10:48:21,新北市,新莊區,阿鴻,
No.12,2017-12-25 11:43:03,臺中市,南屯區,waynewang,
No.13,2017-12-30 21:21:49,花蓮縣,吉安鄉,LKK,贊成。
No.14,2018-01-06 23:15:55,新北市,泰山區,支持你,
No.15,2018-01-15 14:55:30,新北市,新莊區,kizema104,

